hsgrad  nonwhite    mhs fhs income  asvab   nsibs   intact
7   Yes No  Yes Yes  4.909  -0.110   1  No
9   Yes No  Yes No   6.940   0.452   4  No
15  Yes No  Yes Yes 11.000   0.967   1  Yes
26  Yes No  No  No  15.000   1.667   2  No
31  Yes Yes No  No   2.544   0.000   2  No
36  Yes No  No  Yes  9.391   0.000   3  No
41  Yes No  No  Yes  3.175   0.460   3  No
42  Yes No  No  Yes 10.500  -0.620   1  Yes
64  Yes No  No  Yes 15.105   1.257   3  Yes
69  Yes No  No  No  20.000   1.110   1  Yes
73  Yes No  No  No  12.500   0.850   2  No
106 Yes No  Yes No   6.351   1.573   1  Yes
107 Yes No  No  No  11.180   0.725   2  Yes
120 Yes No  No  Yes 26.833   1.662   2  Yes
122 Yes No  No  No   6.000   0.588   1  Yes
139 Yes No  No  No  15.119   0.749   4  Yes
145 Yes No  Yes Yes  4.899   0.437   3  Yes
146 Yes No  Yes Yes  4.899   1.151   3  Yes
148 Yes No  Yes Yes  9.839   0.749   2  No
155 No  No  Yes Yes  7.348  -0.027   3  Yes
162 Yes No  No  No  12.000   1.569   2  Yes
163 Yes No  No  No  12.000   0.964   2  Yes
166 Yes No  No  Yes  8.944   0.682   3  Yes
185 Yes No  Yes Yes 10.286   0.186   3  Yes
187 Yes No  Yes Yes 13.416   0.170   2  Yes
191 Yes No  No  No  13.000   1.090   2  Yes
194 Yes No  Yes Yes 14.000   0.504   1  Yes
196 Yes No  No  No  35.000   1.585   1  Yes
198 Yes No  No  No  15.000   0.803   1  Yes
207 No  No  No  No   5.814  -0.771   2  No
230 Yes No  Yes No   9.500  -0.191   2  Yes
232 Yes No  No  No  12.969   0.502   3  Yes
233 Yes No  No  No  12.969  -0.574   3  Yes
234 Yes No  No  No   2.887  -0.100   7  Yes
235 Yes No  Yes Yes  6.532   0.727   3  Yes
241 Yes No  No  No   3.536  -0.842   6  Yes
246 Yes No  Yes Yes  6.708   1.122   3  Yes
248 No  No  No  No   2.858  -0.974   4  No
253 No  No  No  Yes  7.000  -0.692   2  No
260 Yes No  Yes No  13.500   1.432   3  Yes
261 Yes No  Yes No  13.500   0.988   3  Yes
263 Yes No  Yes Yes  9.391   0.074   4  Yes
279 Yes No  Yes No  12.500   0.265   1  Yes
281 Yes No  No  No  10.206   1.286   3  Yes
295 No  No  Yes Yes  8.083  -0.572   1  No
299 No  Yes No  Yes  2.179  -1.019   4  No
300 No  Yes No  No   2.309  -1.680   2  Yes
313 No  No  No  No   6.940  -0.317   3  Yes
318 Yes No  Yes Yes 22.500  -0.900   2  Yes
324 No  No  Yes Yes 12.247  -1.171   3  Yes
325 Yes No  Yes Yes 12.247   0.810   3  Yes
342 Yes No  Yes No   7.603   1.548   3  Yes
346 Yes No  Yes No   6.842   0.267   2  Yes
350 Yes No  Yes Yes 18.520   0.285   4  Yes
355 Yes No  Yes Yes  8.971   0.177   4  No
356 No  No  Yes Yes 11.180   0.214   3  Yes
358 Yes No  Yes No  16.330  -0.101   3  Yes
372 Yes No  Yes No  14.758   1.310   2  Yes
378 No  Yes No  Yes  2.415  -0.313   5  No
384 Yes Yes No  Yes  2.884  -0.180   5  No
387 Yes Yes No  No   8.126  -1.754   4  Yes
393 Yes No  No  Yes 14.500   1.018   3  Yes
394 No  Yes No  No   3.780  -1.425  11  No
408 Yes No  Yes Yes 17.500   1.181   5  Yes
411 Yes No  No  Yes  8.944  -0.865   2  Yes
412 Yes No  No  Yes  8.944   0.506   2  Yes
434 Yes No  No  No   7.500   0.419   4  Yes
440 Yes No  Yes Yes 17.321   0.567   0  Yes
441 Yes No  Yes No  10.392  -1.404   1  Yes
443 Yes No  No  No   5.000   1.496   1  Yes
445 Yes No  No  No  20.000   1.057   1  Yes
448 Yes No  Yes Yes  5.774  -1.528   3  No
450 Yes No  Yes Yes 13.416  -0.263   4  Yes
451 Yes No  Yes Yes 13.416  -0.742   4  Yes
461 Yes No  Yes No  23.094   1.447   2  Yes
470 No  No  No  No   2.910  -1.114   4  No
479 Yes No  Yes Yes 12.000   0.610   1  Yes
484 Yes No  Yes No  19.654  -0.742   4  Yes
486 Yes No  Yes No  10.733   0.026   2  Yes
489 Yes No  Yes No  17.321   0.883   3  Yes
493 Yes No  Yes Yes 20.572   0.802   3  Yes
508 Yes No  No  No  13.000  -0.428   3  Yes
509 Yes No  Yes Yes 14.311   1.276   2  Yes
511 Yes No  Yes Yes 13.685   1.218   2  Yes
513 Yes Yes No  No   3.101   0.369   4  No
517 No  Yes No  No   2.475  -1.287   7  No
523 Yes Yes No  No  11.068  -0.765   7  Yes
535 No  No  No  No   4.899  -0.393   4  Yes
537 No  No  No  No   4.899  -1.680   9  Yes
540 No  No  No  No   4.919  -0.577   3  No
553 Yes No  Yes No  11.068   1.711   7  Yes
554 Yes No  Yes No  11.068   1.201   7  No
562 Yes No  Yes No  25.981   0.722   1  Yes
594 Yes Yes No  Yes  2.432   0.187   3  No
596 Yes Yes No  Yes  5.774   0.424   2  No
600 Yes No  No  No   9.798   0.899   3  Yes
605 Yes No  No  Yes 12.374   0.283   5  Yes
606 Yes No  No  No  12.374   0.453   5  Yes
610 Yes No  No  No  10.000  -0.510   7  Yes
613 Yes No  No  Yes  7.778  -0.284   1  No
616 Yes No  No  No  11.023  -1.474   3  Yes
628 Yes Yes No  No   3.748  -1.608   8  No
637 Yes No  Yes Yes 13.500   0.175   2  Yes
638 Yes No  Yes No  12.500   0.660   1  Yes
639 Yes No  Yes No  12.500   0.408   1  Yes
641 No  No  No  No  16.166  -1.000   2  Yes
645 Yes No  Yes No  37.501   1.432   2  Yes
651 Yes No  Yes Yes  6.928   0.869   1  No
663 Yes No  Yes No  10.000   0.801   1  Yes
667 Yes No  Yes No  15.652   0.904   2  Yes
671 Yes Yes No  No   9.238   1.161   1  No
672 Yes Yes No  No   9.238   0.409   1  No
674 No  Yes No  No   8.333  -1.475   6  Yes
675 No  Yes No  Yes  8.333  -1.713   6  Yes
676 Yes Yes No  Yes  8.333  -1.364   6  Yes
678 Yes Yes Yes No   8.660  -0.825   4  Yes
681 Yes No  No  No   2.041  -1.440  11  No
685 Yes No  Yes Yes 13.416   0.148   2  Yes
686 Yes No  Yes Yes 13.416   1.011   2  Yes
702 Yes No  Yes Yes  5.774  -0.351   2  Yes
707 Yes No  No  No  10.392  -0.336   0  Yes
711 Yes No  No  No  14.434   0.130   4  No
714 No  No  Yes No   6.283  -0.701   2  Yes
725 Yes No  No  No  23.094   1.667   1  Yes
728 Yes No  No  No   5.307  -1.092   3  No
741 Yes No  Yes No   2.236   0.033   6  No
747 Yes No  No  Yes 13.100   0.761   1  Yes
751 Yes No  No  No   0.000  -0.532   3  Yes
754 Yes Yes No  No   3.130  -0.509   6  No
763 Yes Yes No  Yes  9.016  -0.042   6  Yes
765 Yes Yes No  Yes  9.016   0.146   5  Yes
767 No  No  Yes Yes  7.757  -0.967   3  Yes
776 Yes No  Yes No  10.286   1.642   2  Yes
777 Yes No  Yes No  10.286   1.164   2  Yes
778 Yes No  Yes No  10.286   0.897   2  Yes
784 Yes No  No  Yes  7.603  -0.068   2  Yes
791 Yes No  Yes No  10.733   0.750   2  Yes
795 Yes No  Yes No  25.981   0.146   0  Yes
797 Yes No  No  Yes 20.000   0.763   2  Yes
799 Yes No  Yes Yes  9.827  -0.137   4  Yes
802 Yes No  No  No   7.559  -0.550   5  Yes
806 Yes No  Yes Yes 12.247  -0.778   3  Yes
807 Yes No  Yes Yes 12.247   1.094   3  Yes
817 Yes No  Yes No  17.321   0.824   0  Yes
832 No  Yes Yes Yes  5.060  -0.278   8  Yes
838 Yes Yes No  No  16.000  -1.189   1  Yes
844 Yes No  No  No   6.940  -0.473   3  Yes
850 Yes No  Yes No   5.367   1.274   4  Yes
860 Yes No  No  Yes 14.434   0.873   4  No
864 Yes No  Yes No  26.833   0.136   3  Yes
870 Yes No  No  Yes  5.303  -1.298   5  Yes
871 No  No  Yes No   5.303   0.566   5  Yes
873 Yes No  No  No  11.339   1.020   4  Yes
874 Yes No  No  No  11.339   1.405   4  Yes
877 Yes No  No  No  19.000   0.000   6  Yes
882 Yes No  No  No  16.994   0.670   6  Yes
885 Yes No  No  No  14.849   1.323   2  No
902 Yes No  No  No  12.500   1.105   1  Yes
903 Yes No  Yes Yes 33.541   0.000   4  Yes
908 Yes No  Yes Yes  8.944   0.975   4  Yes
913 Yes No  Yes No   9.500   1.284   2  Yes
920 Yes No  Yes Yes  6.940   1.426   3  Yes
921 Yes No  Yes Yes  6.940  -1.297   3  Yes
924 Yes No  Yes No  12.969   1.169   2  Yes
929 Yes No  Yes Yes  8.944   0.615   2  Yes
937 Yes No  Yes Yes  8.839   1.129   6  Yes
938 Yes No  Yes Yes  8.839  -0.462   6  Yes
946 Yes No  Yes Yes 10.000   1.073   1  Yes
948 Yes No  No  Yes 10.000  -0.503   9  Yes
951 Yes No  Yes Yes  7.348   0.109   3  Yes
956 Yes No  Yes Yes 11.180   0.251   2  Yes
957 Yes No  Yes Yes  9.391  -0.582   6  Yes
960 Yes No  No  No  30.619   1.319   3  Yes
961 Yes No  No  No  30.619   1.299   3  Yes
973 Yes No  Yes Yes 10.500   0.763   2  Yes
994 Yes No  Yes No   7.598   0.379   4  No
997 Yes No  Yes Yes 12.450   0.507   1  Yes
1000    Yes Yes No  Yes  2.933   0.747   4  No
1003    Yes No  Yes No   8.660   0.477   3  Yes
1010    Yes No  No  Yes  9.000   1.136   2  Yes
1011    Yes No  Yes Yes 13.279  -0.149   0  Yes
1012    Yes No  No  No  10.206  -1.378   3  Yes
1013    Yes No  No  No  10.206   1.245   3  Yes
1042    Yes No  No  No   2.449  -0.094   6  Yes
1043    Yes No  Yes No   2.797  -1.650   6  No
1044    Yes No  Yes No   8.944  -1.410   2  Yes
1046    Yes No  No  Yes 15.000   0.578   1  Yes
1051    Yes No  No  Yes 14.434   1.449   2  Yes
1052    Yes No  Yes Yes 12.247   1.498   3  Yes
1053    Yes No  Yes Yes 12.247   0.782   3  Yes
1054    Yes No  Yes Yes  9.500   0.000   1  Yes
1058    Yes No  No  No   5.500  -0.232   2  No
1081    Yes No  No  No  22.808   0.873   3  Yes
1089    No  No  No  No   5.814  -1.423   2  Yes
1092    Yes No  No  No   7.603   0.387   8  Yes
1109    Yes No  Yes No  25.000   1.173   2  Yes
1125    Yes No  Yes Yes  4.000   0.000   3  No
1134    No  No  No  Yes 10.206   0.546   3  Yes
1145    Yes No  Yes No  23.094   1.423   2  Yes
1146    Yes No  Yes No   5.657  -0.890   3  No
1153    No  Yes Yes No   8.165  -1.419   3  Yes
1176    Yes No  Yes No  14.758   0.390   2  Yes
1186    Yes No  No  No  13.416   0.435   2  Yes
1188    Yes No  Yes Yes  8.944   1.073   2  Yes
1222    Yes Yes No  No   1.812  -1.258   4  Yes
1247    Yes No  No  No   7.603  -1.079   6  No
1248    Yes No  Yes Yes  8.497  -0.030   1  Yes
1256    Yes No  No  Yes  5.228  -0.850   2  No
1257    No  No  Yes Yes  9.000  -0.502   1  Yes
1273    Yes No  Yes No  11.000   0.633   2  Yes
1287    Yes Yes Yes Yes  9.000  -1.125   2  Yes
1289    Yes Yes Yes Yes  2.147  -0.640   1  No
1291    Yes Yes Yes No   5.116  -1.229   1  No
1294    Yes Yes Yes Yes  8.165   0.146   4  Yes
1315    Yes No  No  No  20.000   0.412   1  Yes
1319    Yes No  No  No   7.000  -1.428   1  Yes
1349    Yes No  No  Yes  6.708   0.000   2  Yes
1350    Yes No  No  Yes  6.708   0.000   2  Yes
1351    Yes No  No  Yes  6.708  -0.209   2  Yes
1353    Yes No  Yes Yes 11.500   0.127   1  Yes
1368    Yes No  Yes No  26.517   1.513   7  Yes
1373    Yes No  No  No  15.652   0.129   2  Yes
1379    Yes Yes Yes No   1.938  -0.319   3  No
1383    No  Yes Yes No   8.315  -1.582   9  No
1384    Yes Yes Yes No   8.315  -0.870   9  Yes
1387    No  Yes No  No   0.917  -1.419  11  No
1396    Yes No  Yes No  13.856  -0.046   1  Yes
1417    No  No  No  Yes  6.005  -0.665   4  Yes
1418    Yes Yes No  Yes 10.733   0.013   2  No
1425    Yes No  Yes No   8.944   0.861   2  Yes
1433    Yes Yes No  Yes  4.472  -0.089   2  Yes
1434    No  No  No  No   3.580  -1.719   5  No
1447    Yes No  Yes No  31.820   0.000   0  Yes
1456    No  No  Yes No  11.180  -0.300   2  No
1479    Yes No  No  No  30.000   1.541   2  Yes
1501    Yes No  No  No  18.371   1.450   3  Yes
1503    Yes No  No  No   4.619   1.218   1  No
1508    Yes No  No  No   8.165   1.569   3  Yes
1513    Yes No  No  No  13.640  -0.532   2  Yes
1515    Yes No  Yes No  20.412   0.171   2  Yes
1535    No  No  Yes No  10.614  -0.490   9  Yes
1536    No  Yes Yes No  11.628  -0.719   9  Yes
1555    Yes No  Yes No  14.950   1.058   4  Yes
1556    Yes No  Yes No  14.950   0.882   4  Yes
1557    Yes No  Yes No  11.180  -0.530   3  Yes
1560    Yes No  Yes No  11.000  -0.450   1  Yes
1561    Yes No  No  No  28.284   0.346   0  No
1565    Yes No  No  No  20.000   1.061   2  Yes
1569    Yes No  Yes Yes 11.180   0.704   4  No
1574    Yes No  Yes No  20.000   1.372   3  Yes
1580    No  No  Yes Yes 16.000  -0.761   3  Yes
1585    Yes No  No  No  15.000   0.324   1  Yes
1588    Yes No  No  No   8.660   0.000   1  No
1590    Yes No  No  No   5.715  -0.404   3  Yes
1591    Yes No  No  No   5.715  -0.251   3  Yes
1597    Yes No  No  Yes  7.500   0.788   1  Yes
1601    Yes No  Yes Yes  7.500   0.362   2  Yes
1602    Yes No  Yes Yes  7.500   0.331   2  Yes
1611    Yes No  Yes Yes 10.000   1.005   2  No
1612    Yes No  Yes Yes  4.572   0.620   3  Yes
1613    Yes No  Yes Yes  4.572   0.285   3  Yes
1618    Yes No  Yes Yes  7.181   0.784   5  Yes
1626    Yes No  No  No   9.390   1.654   3  Yes
1627    No  No  No  No   9.390  -0.351   3  Yes
1630    Yes No  Yes Yes  8.400   0.939   3  Yes
1631    Yes No  Yes No   9.390   1.664   3  Yes
1632    Yes No  Yes No   9.390   1.691   3  Yes
1635    Yes No  Yes Yes  7.921   0.292   6  Yes
1636    Yes No  Yes Yes  7.921   0.306   6  Yes
1637    Yes No  No  No  15.000   0.474   1  Yes
1644    Yes No  No  No   6.000   0.035   1  Yes
1651    Yes Yes No  No   9.798   1.019   3  Yes
1659    Yes No  Yes Yes 22.678   0.487   6  Yes
1667    No  No  Yes Yes  3.578   0.161   3  No
1669    Yes No  Yes No  12.000   1.037   2  Yes
1670    Yes No  No  No  22.500   1.539   1  Yes
1672    Yes No  Yes No  13.880   0.528   3  Yes
1679    Yes No  No  Yes 18.371   0.737   3  Yes
1682    Yes No  Yes Yes 10.392  -0.062   1  Yes
1715    Yes Yes No  No  11.000   0.516   1  Yes
1731    Yes No  Yes Yes  6.708   0.746   4  Yes
1741    No  No  Yes Yes  7.000  -0.770   3  Yes
1743    Yes No  Yes Yes  4.800   0.085   3  Yes
1748    Yes No  No  No  20.207   1.252   1  Yes
1763    Yes Yes No  No  10.159   0.853   1  No
1767    Yes No  No  No  24.495   1.142   2  Yes
1772    No  No  Yes No   1.680  -0.864   2  No
1780    Yes No  No  No   9.238   1.149   3  Yes
1784    Yes No  Yes No   3.536   0.897   1  No
1788    Yes No  Yes Yes 10.392   0.701   2  Yes
1790    Yes No  No  No   5.081   0.635   1  Yes
1791    Yes No  Yes Yes 13.500   0.676   1  Yes
1792    Yes No  Yes Yes 10.733   1.144   2  Yes
1796    Yes No  Yes No  12.702   0.381   3  No
1802    Yes No  Yes No  20.000   0.905   5  Yes
1810    Yes No  Yes Yes 33.541   0.241   2  Yes
1811    No  Yes Yes No   2.800  -0.344   9  No
1812    No  No  Yes No   2.425  -1.153   9  No
1813    No  No  No  No   6.221  -0.693   4  No
1819    Yes Yes No  No   9.839   1.191   1  Yes
1822    No  Yes No  No   4.472  -1.442   2  No
1830    No  Yes No  No   0.265  -0.868   5  No
1836    Yes Yes No  No   2.041   0.366   6  Yes
1867    Yes No  No  Yes  9.500   1.315   1  Yes
1869    Yes No  Yes Yes 10.206  -0.482   4  Yes
1873    Yes No  No  No  11.748  -0.963   3  Yes
1881    Yes No  Yes Yes 12.075   0.053   2  Yes
1889    Yes No  No  No   3.536   0.114   3  No
1890    Yes No  No  No   3.536  -1.110   3  No
1894    Yes No  Yes No  15.700   0.179   3  Yes
1916    Yes No  No  No  15.062   0.636   2  Yes
1917    Yes No  Yes Yes  5.196  -0.612   1  Yes
1919    Yes No  Yes Yes  9.839   0.221   2  Yes
1920    Yes No  No  No  18.783   0.361   2  Yes
1924    Yes No  No  No   6.532   0.056   3  No
