age	education	prestige	year	gender	race	workingMom
1	63	8	36	1977	female	white	D
2	31	4	36	1977	female	white	D
3	66	8	17	1977	male	white	SD
4	26	16	50	1977	male	white	SA
5	36	17	52	1977	male	white	SD
6	77	14	50	1977	female	white	A
7	35	12	36	1977	female	white	A
8	44	15	36	1977	female	white	SA
9	30	9	32	1977	male	white	D
10	36	13	45	1977	male	white	A
11	33	14	34	1977	male	white	A
12	57	12	72	1977	female	white	D
13	23	16	69	1977	male	nonwhite	D
14	30	16	61	1977	male	white	A
15	35	16	57	1977	male	white	A
16	22	15	35	1977	female	nonwhite	SA
17	25	16	32	1977	male	white	A
18	78	16	50	1977	male	white	D
19	41	12	46	1977	female	white	A
20	45	12	31	1977	female	white	SA
21	55	14	50	1977	female	white	A
22	31	12	46	1977	female	white	D
23	34	12	34	1977	female	white	SA
24	69	7	20	1977	female	white	SD
25	25	13	56	1977	male	white	D
26	67	12	36	1977	female	white	D
27	37	8	29	1977	male	white	SD
28	51	12	50	1977	male	white	SA
29	20	12	23	1977	female	white	SA
30	48	9	34	1977	male	white	SA
31	62	9	28	1977	male	white	D
32	41	12	46	1977	female	white	D
33	56	12	36	1977	female	white	SD
34	59	16	57	1977	male	white	SD
35	26	10	20	1977	female	white	D
36	34	11	17	1977	male	white	A
37	30	14	46	1977	female	white	A
38	39	10	19	1977	female	white	A
39	45	4	25	1977	female	white	SD
40	72	14	39	1977	male	white	SD
41	26	13	38	1977	male	white	A
42	60	12	48	1977	female	white	A
43	29	10	36	1977	female	white	D
44	49	11	38	1977	male	white	D
45	30	17	60	1977	female	white	A
46	65	9	48	1977	male	white	SD
47	50	16	50	1977	female	white	D
48	27	12	37	1977	male	white	D
49	63	9	30	1977	female	white	D
50	89	12	47	1977	male	white	A
51	62	12	56	1977	female	nonwhite	A
52	76	16	50	1977	male	white	A
53	31	18	50	1977	female	white	SA
54	19	12	17	1977	male	white	A
55	58	12	62	1977	female	white	A
56	20	12	15	1977	female	white	SD
57	20	13	20	1977	female	white	A
58	27	18	60	1977	male	white	A
59	39	12	34	1977	female	white	A
60	41	12	17	1977	male	nonwhite	D
61	62	6	29	1977	male	white	D
62	76	4	32	1977	male	white	D
63	80	8	32	1977	female	white	A
64	84	14	60	1977	female	white	D
65	73	10	26	1977	female	white	SA
66	33	15	36	1977	male	white	SD
67	48	12	26	1977	female	white	SA
68	68	0	17	1977	male	nonwhite	D
69	55	14	46	1977	female	nonwhite	A
70	27	18	63	1977	male	white	A
71	47	16	46	1977	female	nonwhite	SA
72	71	10	46	1977	female	white	D
73	23	10	28	1977	male	nonwhite	A
74	47	12	58	1977	female	white	SA
75	23	14	22	1977	male	nonwhite	A
76	61	7	25	1977	female	white	D
77	53	14	57	1977	female	white	SA
78	64	8	30	1977	male	white	SD
79	60	9	32	1977	female	white	D
80	23	11	16	1977	male	nonwhite	D
81	49	5	33	1977	male	nonwhite	SA
82	33	11	43	1977	female	nonwhite	SA
83	19	12	17	1977	male	nonwhite	D
84	49	8	36	1977	female	white	SA
85	74	7	25	1977	female	white	SA
86	62	8	27	1977	female	white	SD
87	67	8	19	1977	male	white	D
88	79	4	25	1977	female	white	D
89	24	12	43	1977	female	white	A
90	66	12	32	1977	female	white	SA
91	27	14	48	1977	male	white	A
92	63	11	25	1977	female	white	D
93	59	11	34	1977	female	white	SD
94	72	14	60	1977	female	white	A
95	30	11	35	1977	male	white	D
96	64	17	55	1977	female	white	D
97	35	18	63	1977	female	white	A
98	50	13	46	1977	female	white	SA
99	30	16	34	1977	male	white	A
