working	region	kids0004	kids0509	kids1014	familyIncome	education
1	TRUE	BC	Yes	Yes	Yes	24.646	13
2	TRUE	Atlantic	No	Yes	No	29.762	9
3	TRUE	BC	Yes	Yes	No	33.511	16
4	TRUE	Quebec	Yes	No	No	21.438	18.5
5	TRUE	Prairies	No	No	No	17.183	16
6	TRUE	BC	No	No	No	14.882	15.5
7	TRUE	Quebec	No	No	Yes	1.704	15.5
8	TRUE	Atlantic	No	Yes	Yes	14.182	13.1
9	TRUE	Ontario	No	No	No	28.434	19
10	TRUE	BC	No	Yes	No	33.546	17
11	TRUE	BC	Yes	Yes	No	44.562	14
12	TRUE	Ontario	No	No	No	29.014	15.6
13	FALSE	Ontario	No	No	Yes	31.962	12
14	TRUE	Atlantic	Yes	Yes	No	21.642	12
15	FALSE	Atlantic	Yes	Yes	Yes	45.572	10
16	TRUE	Ontario	No	Yes	No	28.157	14
17	TRUE	Ontario	No	No	No	55.724	15
18	TRUE	Atlantic	Yes	No	No	43.984	18
19	TRUE	Prairies	No	No	No	16.361	14
20	FALSE	Quebec	Yes	No	No	28.619	13.5
21	TRUE	Ontario	Yes	Yes	No	16.83	15.5
22	TRUE	Prairies	Yes	Yes	No	36.545	14
23	TRUE	Prairies	Yes	No	No	25.633	14
24	TRUE	Prairies	Yes	Yes	Yes	27.239	12
25	TRUE	Quebec	No	Yes	No	18.403	12
26	TRUE	Atlantic	No	No	No	24.347	16.5
27	TRUE	BC	No	No	No	10.708	15.1
28	TRUE	Prairies	Yes	No	No	33.167	13
29	TRUE	Quebec	Yes	No	No	33.365	15.8
30	TRUE	Atlantic	Yes	No	No	15.252	12
31	TRUE	Atlantic	No	No	No	21.887	12
32	TRUE	Prairies	No	No	No	28.69	16
33	TRUE	Ontario	No	No	No	25.024	12
34	TRUE	Quebec	No	No	Yes	53.906	11
35	TRUE	Ontario	Yes	No	No	16.5	14
36	TRUE	Prairies	Yes	Yes	No	18.799	11
37	TRUE	Quebec	No	Yes	Yes	37.509	13
38	TRUE	Ontario	Yes	Yes	No	13.231	13
39	TRUE	Prairies	No	Yes	Yes	30.623	13
40	FALSE	Quebec	Yes	Yes	No	27.36	12
41	TRUE	Ontario	Yes	Yes	No	20.535	13
