school	iq	test	ses	class.size	meanses	meaniq
1	1	10.5	NA	10	29	13.692	10.463
2	1	14	50	NA	29	13.692	10.463
3	1	15	46	23	29	13.692	10.463
4	1	14.5	45	10	29	13.692	10.463
5	1	9.5	33	15	29	13.692	10.463
6	1	11	46	23	29	13.692	10.463
7	1	8	20	10	29	13.692	10.463
8	1	9.5	30	10	29	13.692	10.463
9	1	9.5	30	23	29	13.692	10.463
10	1	13	57	10	29	13.692	10.463
11	1	9.5	36	13	29	13.692	10.463
12	1	11	36	15	29	13.692	10.463
13	1	5.5	29	10	29	13.692	10.463
14	1	14	40	18	29	13.692	10.463
15	1	9	41	15	29	13.692	10.463
16	1	10.5	47	20	29	13.692	10.463
17	1	10	33	10	29	13.692	10.463
18	1	11	37	20	29	13.692	10.463
19	1	6.5	29	13	29	13.692	10.463
20	1	4	26	10	29	13.692	10.463
21	1	11	37	10	29	13.692	10.463
22	1	11	40	15	29	13.692	10.463
23	1	11	27	10	29	13.692	10.463
24	1	12.5	43	13	29	13.692	10.463
25	1	11.5	39	10	29	13.692	10.463
26	1	10	21	10	29	13.692	10.463
27	1	10	42	10	29	13.692	10.463
28	2	11.5	21	15	19	15.429	9
29	2	10.5	27	15	19	15.429	9
30	2	8	16	20	19	15.429	9
31	2	7.5	31	15	19	15.429	9
32	2	7.5	21	10	19	15.429	9
33	2	6.5	18	23	19	15.429	9
34	2	11.5	32	10	19	15.429	9
35	3	14.5	NA	32	28	28.889	11.5
36	3	14	50	34	28	28.889	11.5
37	3	9	25	14	28	28.889	11.5
38	3	10.5	38	35	28	28.889	11.5
39	3	9.5	33	22	28	28.889	11.5
40	3	11	41	37	28	28.889	11.5
41	3	11.5	41	26	28	28.889	11.5
42	3	10.5	39	20	28	28.889	11.5
43	3	13	52	40	28	28.889	11.5
44	5	5	NA	18	21	19.733	8.583
45	5	7.5	NA	21	21	19.733	8.583
46	5	11.5	NA	21	21	19.733	8.583
47	5	9.5	NA	NA	21	19.733	8.583
48	5	7.5	NA	NA	21	19.733	8.583
49	5	7	NA	20	21	19.733	8.583
50	5	6	NA	11	21	19.733	8.583
51	5	7.5	NA	18	21	19.733	8.583
52	5	12.5	NA	19	21	19.733	8.583
53	5	7.5	NA	NA	21	19.733	8.583
54	5	7	NA	18	21	19.733	8.583
55	5	6.5	NA	21	21	19.733	8.583
56	5	10	NA	19	21	19.733	8.583
57	5	9.5	NA	17	21	19.733	8.583
58	5	6.5	NA	12	21	19.733	8.583
59	5	8.5	NA	19	21	19.733	8.583
60	5	10.5	NA	32	21	19.733	8.583
61	5	14.5	NA	30	21	19.733	8.583
62	6	15.5	NA	43	30	36.158	13.474
63	6	14.5	NA	49	30	36.158	13.474
64	6	10.5	NA	19	30	36.158	13.474
65	6	13.5	NA	46	30	36.158	13.474
66	6	15	NA	47	30	36.158	13.474
67	6	15	NA	43	30	36.158	13.474
68	6	15	NA	26	30	36.158	13.474
69	6	11	NA	26	30	36.158	13.474
70	6	12.5	NA	49	30	36.158	13.474
71	6	16	NA	23	30	36.158	13.474
72	6	13	NA	44	30	36.158	13.474
73	6	11.5	NA	37	30	36.158	13.474
74	6	13	NA	43	30	36.158	13.474
75	6	12.5	NA	37	30	36.158	13.474
76	6	13	NA	32	30	36.158	13.474
77	6	11	NA	20	30	36.158	13.474
78	6	13	NA	29	30	36.158	13.474
79	6	16	NA	37	30	36.158	13.474
80	6	14.5	NA	37	30	36.158	13.474
81	9	11	34	21	23	30.909	12.773
82	9	13.5	34	33	23	30.909	12.773
83	9	11	43	25	23	30.909	12.773
84	9	13	40	28	23	30.909	12.773
85	9	12.5	48	41	23	30.909	12.773
86	9	13	46	23	23	30.909	12.773
87	9	10.5	45	32	23	30.909	12.773
88	9	14	55	43	23	30.909	12.773
89	9	13.5	53	40	23	30.909	12.773
90	9	14.5	46	20	23	30.909	12.773
91	9	14	56	34	23	30.909	12.773
92	10	10.5	28	15	25	19.6	10.5
93	10	10.5	33	20	25	19.6	10.5
94	10	12.5	38	20	25	19.6	10.5
