poverty	men	religion	degree	country	age
"Too Little"	1	1	0	USA	44
"About Right"	0	1	0	USA	40
"Too Little"	0	1	0	USA	36
"Too Much"  	0	1	1	USA	25
"Too Little"	1	1	1	USA	39
"About Right"	0	1	0	USA	80
"Too Much"  	0	1	0	USA	48
"Too Little"	1	1	0	USA	32
"Too Little"	0	1	0	USA	74
"Too Little"	1	1	0	USA	30
"Too Little"	0	1	1	USA	32
"About Right"	0	1	1	USA	74
"Too Little"	1	1	0	USA	48
"Too Much"  	1	1	0	USA	42
"Too Little"	0	0	0	USA	28
"Too Much"  	0	1	0	USA	36
"Too Much"  	1	1	0	USA	49
"Too Little"	0	1	0	USA	38
"About Right"	0	1	0	USA	79
"About Right"	1	1	0	USA	59
"Too Much"  	0	1	1	USA	50
"Too Much"  	1	1	0	USA	68
"Too Little"	0	1	0	USA	35
"Too Little"	1	1	0	USA	76
"Too Little"	0	1	0	USA	62
"Too Little"	0	1	0	USA	80
"Too Little"	1	1	0	USA	18
"Too Little"	0	1	0	USA	50
"Too Much"  	1	1	0	USA	38
"About Right"	0	1	0	USA	48
"Too Little"	0	1	0	USA	37
"Too Much"  	0	1	1	USA	45
"Too Little"	1	1	0	USA	47
"Too Little"	0	1	0	USA	32
"Too Much"  	1	1	1	USA	50
"Too Little"	1	1	0	USA	42
"Too Little"	1	0	1	USA	42
"Too Much"  	1	1	0	USA	65
"About Right"	0	1	0	USA	67
"Too Much"  	1	0	0	USA	65
"Too Much"  	0	1	0	USA	36
"About Right"	1	1	1	USA	82
"Too Little"	1	0	0	USA	47
"Too Little"	1	1	0	USA	45
"Too Much"  	0	1	0	USA	37
"About Right"	1	1	0	USA	78
"Too Much"  	1	0	0	USA	21
"Too Much"  	1	1	1	USA	34
"Too Much"  	0	1	1	USA	66
"Too Little"	0	0	0	USA	43
"Too Much"  	1	1	0	USA	76
"Too Little"	0	1	0	USA	76
"About Right"	1	1	0	USA	59
"Too Little"	0	1	0	USA	25
"About Right"	1	1	0	USA	40
"About Right"	1	1	0	USA	43
"Too Much"  	0	1	0	USA	69
"Too Much"  	1	0	1	USA	48
"Too Much"  	0	1	1	USA	77
"Too Much"  	1	1	1	USA	65
"Too Much"  	1	1	1	USA	79
"Too Much"  	0	1	0	USA	81
"Too Little"	0	0	0	USA	32
"Too Little"	1	1	0	USA	30
"About Right"	0	1	1	USA	50
"Too Little"	0	1	0	USA	39
"Too Little"	0	1	0	USA	38
"About Right"	1	1	1	USA	23
"Too Much"  	0	1	1	USA	81
"Too Little"	1	1	0	USA	44
"Too Much"  	1	0	1	USA	58
"About Right"	0	1	1	USA	41
"About Right"	0	1	1	USA	35
"Too Little"	0	1	1	USA	55
"Too Much"  	0	1	1	USA	28
"Too Much"  	0	1	1	USA	26
"About Right"	1	1	1	USA	40
"Too Much"  	1	1	0	USA	64
"Too Little"	1	0	0	USA	19
"About Right"	0	1	1	USA	46
"Too Much"  	0	1	0	USA	36
"Too Much"  	0	0	0	USA	18
"Too Much"  	1	0	1	USA	28
"Too Much"  	0	0	0	USA	40
"Too Much"  	1	0	0	USA	35
"Too Much"  	0	1	0	USA	56
"Too Much"  	1	1	0	USA	79
"Too Much"  	1	1	0	USA	73
"Too Little"	0	0	0	USA	60
"Too Much"  	1	1	1	USA	37
"Too Much"  	0	1	0	USA	39
"Too Much"  	0	1	0	USA	63
"Too Little"	0	1	1	USA	73
"Too Little"	1	0	1	USA	55
"Too Much"  	1	0	1	USA	42
"Too Little"	1	1	0	USA	49
"Too Little"	1	1	0	USA	61
"Too Little"	0	1	0	USA	59
"About Right"	0	1	0	USA	25
"Too Little"	1	1	0	USA	18
"About Right"	0	0	0	USA	58
"Too Little"	0	1	0	USA	40
"Too Little"	1	1	1	USA	40
"Too Little"	1	1	1	USA	29
"Too Little"	0	1	1	USA	33
"About Right"	0	1	0	USA	38
"Too Much"  	0	1	0	USA	47
"Too Much"  	1	1	0	USA	54
"Too Much"  	1	1	0	USA	36
"Too Much"  	0	1	0	USA	31
"About Right"	1	1	0	USA	30
"About Right"	0	1	0	USA	26
"Too Much"  	1	1	0	USA	69
"Too Much"  	0	1	0	USA	60
"Too Much"  	0	1	1	USA	39
"About Right"	1	0	1	USA	35
"Too Much"  	1	1	0	USA	73
"Too Little"	1	1	1	USA	38
"Too Much"  	0	1	0	USA	76
"Too Much"  	0	1	0	USA	42
"Too Little"	1	0	0	USA	80
"Too Little"	1	1	0	USA	47
"Too Much"  	0	1	0	USA	36
"Too Much"  	1	1	0	USA	85
"Too Little"	1	0	0	USA	36
"About Right"	1	1	0	USA	42
"Too Much"  	0	0	0	USA	45
"Too Little"	0	1	0	USA	24
"Too Little"	1	1	0	USA	32
"Too Little"	1	1	0	USA	33
"Too Little"	0	1	0	USA	33
"About Right"	1	0	0	USA	73
"About Right"	1	1	0	USA	30
"Too Little"	0	1	0	USA	37
"About Right"	0	0	0	USA	39
"About Right"	0	1	1	USA	30
"About Right"	1	1	1	USA	34
"Too Little"	1	0	0	USA	39
"Too Much"  	1	1	0	USA	61
"About Right"	0	1	0	USA	66
"Too Little"	0	0	0	USA	25
"Too Much"  	0	1	0	USA	28
"Too Much"  	1	1	0	USA	55
"Too Much"  	1	1	0	USA	41
"Too Much"  	1	1	0	USA	30
"About Right"	1	1	0	USA	48
"Too Much"  	1	1	0	USA	73
"Too Little"	0	0	0	USA	44
"Too Little"	0	1	1	USA	44
"Too Much"  	1	0	0	USA	91
"Too Much"  	1	0	0	USA	37
"Too Much"  	0	1	0	USA	61
"About Right"	1	0	0	USA	40
"Too Little"	0	1	0	USA	61
"About Right"	1	1	0	USA	61
"Too Much"  	0	1	0	USA	39
"About Right"	0	1	0	USA	47
"About Right"	0	1	0	USA	41
"About Right"	1	1	0	USA	32
"About Right"	1	1	0	USA	26
"About Right"	0	1	0	USA	49
"Too Little"	0	1	0	USA	38
"Too Little"	0	1	0	USA	76
"Too Much"  	1	0	1	USA	66
"About Right"	1	0	0	USA	34
"About Right"	0	1	0	USA	53
"Too Little"	1	1	0	USA	61
"Too Little"	1	1	0	USA	47
"Too Much"  	0	1	0	USA	67
"Too Much"  	0	1	0	USA	31
"Too Little"	1	0	1	USA	36
"About Right"	1	1	1	USA	23
"About Right"	1	1	1	USA	48
"Too Much"  	1	0	1	USA	48
"Too Much"  	0	1	0	USA	45
"About Right"	1	1	1	USA	72
"Too Much"  	0	1	0	USA	25
"About Right"	1	1	0	USA	25
"Too Much"  	1	1	0	USA	24
"Too Much"  	0	1	0	USA	20
"About Right"	0	1	0	USA	68
"Too Little"	1	1	0	USA	23
"Too Little"	1	1	0	USA	34
"Too Little"	1	0	0	USA	21
"Too Little"	0	1	0	USA	70
"About Right"	1	1	1	USA	37
"Too Much"  	0	1	0	USA	26
"About Right"	0	1	1	USA	34
"Too Much"  	0	1	1	USA	35
