SCHID,C0110,C0112,C0114,C0116,C0120,C0121,C0122,C0125,C0129,C0134,C0136,C0138,C0140,C0139,C0141,C0143,C0142,C0144,C0146,C0150,C0153,C0155,C0158,C0162,C0166,C0170,C0169,C0161,C0157,C0163,C0165,C0167,C0174,C0183,C0176,C0181,C0175,C0177,C0179,C0186,C0600,C0602,C0604,C0606,C0608,C0190,C0192,C0196,C0198,C0204,C0206,C0208,C0210,C0212,C0214,C0216,C0218,C0610,C0612,C0614,C0616,C0618,C0621,C0622,C0624,C0626,C0628,C0630,C0632,C0636,C0638,C0640,C0642,C0644,C0646,C0648,C0650,C0652,C0654,C0656,C0658,C0660,C0661,C0663,C0665,C0667,C0669,C0671,C0674,C0676,C0678,C0681,C0682,C0684,C0686,C0266,C0268,C0265,C0267,C0269,C0270,C0272,C0278,C0271,C0273,C0274,C0276,C0277,C0279,C0280,C0282,C0284,C0286,C0288,C0290,C0292,C0294,C0296,C0298,C0300,C0302,C0304,C0690_R,C0705,C0688,C0374,C0376,C0378,C0381,C0383,C0385,C0387,C0382,C0380,C0384,C0386,C0389,C0391,C0393,C0402,C0404,C0406,C0408,C0410,C0412,C0422,C0424,C0426,C0428,C0430,C0432,C0434,C0436,C0442,C0444,C0446,C0448,C0450,C0452,C0454,C0456,C0532,C0534,C0536,C0538,C0560,C0562,C0568,C0570,C0572,C0578,C0578_DD,C0578_MM,C0578_YY,C0578_SOURCE,C0014_R,C0016_R,C0580,STRATA,CRISIS18,DISALC18,DISDRUG18,DISFIRE18,DISWEAP18,INCID18,INCPOL18,NONVIOINC18,NONVIOPOL18,OTHACT18,OUTSUS18,PROBWK18,SEC_FT18,SEC_PT18,STUOFF18,SVINC18,SVPOL18,VIOINC18,VIOPOL18,FR_URBAN,FR_LVEL,FR_SIZE,FINALWGT,REPFWT1,REPFWT2,REPFWT3,REPFWT4,REPFWT5,REPFWT6,REPFWT7,REPFWT8,REPFWT9,REPFWT10,REPFWT11,REPFWT12,REPFWT13,REPFWT14,REPFWT15,REPFWT16,REPFWT17,REPFWT18,REPFWT19,REPFWT20,REPFWT21,REPFWT22,REPFWT23,REPFWT24,REPFWT25,REPFWT26,REPFWT27,REPFWT28,REPFWT29,REPFWT30,REPFWT31,REPFWT32,REPFWT33,REPFWT34,REPFWT35,REPFWT36,REPFWT37,REPFWT38,REPFWT39,REPFWT40,REPFWT41,REPFWT42,REPFWT43,REPFWT44,REPFWT45,REPFWT46,REPFWT47,REPFWT48,REPFWT49,REPFWT50,IC0110,IC0112,IC0114,IC0116,IC0120,IC0121,IC0122,IC0125,IC0129,IC0134,IC0136,IC0138,IC0140,IC0139,IC0141,IC0143,IC0142,IC0144,IC0146,IC0150,IC0153,IC0155,IC0158,IC0162,IC0166,IC0170,IC0169,IC0161,IC0157,IC0163,IC0165,IC0167,IC0174,IC0183,IC0176,IC0181,IC0175,IC0177,IC0179,IC0186,IC0600,IC0602,IC0604,IC0606,IC0608,IC0190,IC0192,IC0196,IC0198,IC0204,IC0206,IC0208,IC0210,IC0212,IC0214,IC0216,IC0218,IC0610,IC0612,IC0614,IC0616,IC0618,IC0621,IC0622,IC0624,IC0626,IC0628,IC0630,IC0632,IC0636,IC0638,IC0640,IC0642,IC0644,IC0646,IC0648,IC0650,IC0652,IC0654,IC0656,IC0658,IC0660,IC0661,IC0663,IC0665,IC0667,IC0669,IC0671,IC0674,IC0676,IC0678,IC0681,IC0682,IC0684,IC0686,IC0266,IC0268,IC0265,IC0267,IC0269,IC0270,IC0272,IC0278,IC0271,IC0273,IC0274,IC0276,IC0277,IC0279,IC0280,IC0282,IC0284,IC0286,IC0288,IC0290,IC0292,IC0294,IC0296,IC0298,IC0300,IC0302,IC0304,IC0705,IC0688,IC0374,IC0376,IC0378,IC0381,IC0383,IC0385,IC0387,IC0382,IC0380,IC0384,IC0386,IC0389,IC0391,IC0393,IC0402,IC0404,IC0406,IC0408,IC0410,IC0412,IC0422,IC0424,IC0426,IC0428,IC0430,IC0432,IC0434,IC0436,IC0442,IC0444,IC0446,IC0448,IC0450,IC0452,IC0454,IC0456,IC0532,IC0534,IC0536,IC0538,IC0560,IC0562,IC0568,IC0570,IC0572,IC0578,IC0580
4225,1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1,3,2,2,2,1,2,4,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,2,2,2,3,3,3,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,3,2,3,3,3,3,2,3,3,3,1,3,3,2,2,1,4,3,4,4,5,5,4,5,4,4,5,3,4,4,2,-1,2,-1,1,2,1,1,2,-1,2,-1,1,2,2,-1,1,1,2,-1,2,-1,15,50,70,6,3,3,85,50,30,03282018,28,3,2018,0,2,3,45,233,4,-1,-1,-1,-1,10,0,2,0,5,0,0,1,0,5,0,0,8,0,3,2,3,12.7847,12.8765,13.1306,0.0000,13.0788,13.2825,13.3607,13.3031,12.8806,13.0775,12.9093,13.1350,13.2656,13.2212,13.1517,13.2366,13.2022,13.0538,13.3737,13.1073,13.3252,13.0896,13.1271,12.9204,12.8971,12.9398,12.8856,12.8440,13.0482,12.8726,13.1179,12.9616,12.8561,13.0062,12.6647,12.8743,13.1045,13.0446,12.7899,12.9190,12.9764,12.7803,13.0585,12.7397,13.0875,13.0193,12.8756,13.0866,13.0701,13.1577,13.3541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,-1,2,2,2,2,2,2,4,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,-1,-1,1,1,2,3,1,2,3,3,1,3,2,2,1,2,2,1,2,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,5,4,5,5,5,4,4,5,4,4,4,2,-1,1,1,1,2,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,2,5,25,20,6,3,3,91,40,30,03122018,12,3,2018,0,2,1,120,224,7,-1,5,-1,1,16,1,7,1,0,0,0,1,0,9,2,0,9,0,4,2,2,14.1247,14.4280,14.4364,14.3588,14.2713,14.2582,14.4200,14.1161,14.3229,14.3357,14.4837,14.3507,14.4932,14.3326,14.3782,0.0000,14.4375,14.2386,14.2945,14.4837,14.3385,14.4479,14.4135,14.3320,14.6625,14.3155,14.4224,14.5679,14.2976,14.3163,14.4747,14.4669,14.4105,14.6759,14.3667,14.5165,14.6663,14.6123,14.5477,14.3751,14.3695,14.2656,14.3528,14.5557,14.3828,14.6611,14.5484,14.3000,14.4593,14.3589,14.3860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
1986,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,1,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,3,3,1,1,2,-1,-1,2,-1,-1,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,3,3,3,2,1,3,3,3,3,3,2,2,1,4,4,4,4,4,4,4,5,5,4,5,4,4,3,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,5,95,95,9,3,3,97,57,21,04082018,8,4,2018,0,1,11,38,231,7,-1,-1,-1,-1,12,1,4,1,-1,-1,0,1,0,0,0,0,8,0,1,2,3,14.2743,14.8434,14.6663,14.7190,14.8100,14.3540,14.2120,14.3658,14.2878,14.7274,14.6588,14.8722,14.4216,14.9538,14.4368,14.5989,14.6004,14.5588,14.6701,14.1813,14.4869,14.7132,14.2446,14.4701,14.3603,14.6396,14.7186,14.3657,14.5136,14.4487,14.5942,0.0000,14.5682,14.5380,14.6468,14.7198,14.5405,14.6337,14.4885,14.6035,14.5517,14.4146,14.7030,14.5253,14.6421,14.7152,14.5319,14.6315,14.6625,14.4594,14.6688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0029,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,-1,2,-1,-1,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,1,1,2,3,2,2,3,2,2,3,4,2,4,4,4,4,4,4,4,4,4,2,3,3,1,2,2,-1,1,1,1,1,1,1,2,-1,1,1,1,2,1,1,1,1,2,-1,10,85,85,5,3,3,95,55,40,02252018,25,2,2018,2,1,7,10,342,6,4,5,-1,1,25,14,14,7,0,1,1,3,0,15,6,6,11,7,2,3,4,8.0931,0.0000,8.1788,8.2680,8.2278,8.2340,8.2023,8.2788,8.3569,8.1366,8.1492,8.2228,8.2525,8.2622,8.2820,8.3112,8.2808,8.2304,8.2438,8.2394,8.2321,8.1652,8.2554,8.2754,8.3154,8.2332,8.3061,8.1820,8.2976,8.3002,8.2188,8.2320,8.1597,8.3719,8.3966,8.3316,8.2927,8.2735,8.2560,8.1995,8.1994,8.2465,8.3334,8.2895,8.3452,8.2785,8.2815,8.3860,8.1593,8.2140,8.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2234,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,1,1,2,3,3,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,-1,-1,2,-1,-1,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,2,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,5,4,4,5,5,5,5,5,5,5,5,4,5,4,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,3,95,98,7,3,3,96,81,47,06082018,8,6,2018,0,2,18,60,232,7,-1,-1,-1,-1,2,2,0,0,10,0,0,1,0,10,0,0,2,2,2,2,3,14.1561,14.4833,14.8498,14.5621,14.1622,14.6087,14.6025,14.2812,14.3927,14.4368,14.5284,14.3677,14.2713,14.4054,14.1995,14.2414,14.7355,14.2107,14.4587,14.4194,0.0000,14.4853,14.0386,14.2953,14.9134,14.5680,14.5072,14.2464,15.0115,14.3353,14.2844,14.6852,14.3946,14.3959,14.4362,14.3512,14.4782,14.2602,14.9528,14.2832,14.6807,14.3523,14.2231,14.2736,14.6894,14.7206,14.2811,14.2452,14.4083,14.5834,14.4297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0570,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,2,1,2,1,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,1,4,4,4,4,4,5,4,5,5,4,5,3,4,3,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,10,60,85,4,3,3,95,15,15,03232018,23,3,2018,0,1,4,45,333,7,-1,-1,-1,-1,40,3,3,3,0,5,0,0,1,5,0,0,37,0,3,3,3,16.3808,16.4172,16.8081,16.4830,16.7960,16.9477,16.9158,16.8580,16.4222,16.5208,16.3095,16.8784,16.9497,16.8892,16.9527,17.0494,16.5074,16.4973,16.7654,16.5387,16.9404,16.6502,16.7371,16.5072,16.7972,16.6419,16.6762,16.6590,16.6194,16.5778,16.7133,16.6971,16.6085,16.7803,16.2042,16.5393,16.7393,16.7242,16.9556,16.6578,16.9264,16.3888,16.4199,16.6291,17.0851,16.6905,16.6690,17.1624,0.0000,17.1210,16.9678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,4,4,4,5,5,5,4,4,4,4,5,3,4,4,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,60,5,20,9,3,3,85,40,10,02282018,28,2,2018,0,1,7,20,442,7,-1,4,-1,-1,13,6,7,4,4,0,0,0,1,6,0,0,6,2,2,4,4,21.2145,22.3954,22.2735,22.2313,20.6343,20.9688,20.9841,21.0066,21.3288,20.9529,21.4557,21.1544,21.1683,21.1167,21.4647,20.7082,20.8456,20.6919,20.7780,21.9860,21.8546,21.8590,21.2413,24.0948,22.0047,21.5450,21.0073,21.7869,22.3906,26.3835,21.7113,20.9268,22.2212,22.1380,21.4070,0.0000,22.1656,22.4316,22.5465,22.3214,20.7221,21.7067,21.0751,21.0988,21.2133,21.4996,21.5056,21.6942,21.3734,21.3294,22.2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3381,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,-1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,-1,-1,2,-1,-1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,5,4,4,4,5,5,5,5,4,3,4,4,4,5,2,-1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,60,20,50,7,2,2,95,18,12,05142018,14,5,2018,0,1,3,-2,221,7,-1,-1,-1,-1,9,3,0,0,2,0,0,0,1,4,1,1,9,3,1,2,2,15.3032,15.9851,15.7839,15.8367,15.7662,15.5002,15.3729,15.3437,15.2978,15.4466,15.7639,15.6616,15.6864,15.6437,15.3450,15.6434,15.3066,15.9121,15.8353,15.7608,15.2963,15.4006,15.6902,15.8222,15.4577,15.4251,16.0216,15.7694,15.2189,0.0000,15.6720,15.3476,15.7825,15.7116,15.4860,15.9056,15.5377,15.5814,15.5631,15.5289,15.4986,15.2185,15.7499,15.9629,15.8613,15.7994,15.3837,15.4872,15.8232,15.5804,15.7471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4794,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,-1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,-1,-1,-1,-1,-1,2,-1,-1,1,1,2,2,2,3,3,3,3,3,2,2,2,2,2,1,2,1,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,5,4,5,5,5,5,4,5,5,5,4,4,4,4,2,-1,1,2,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,3,75,90,7,3,3,96,10,5,03082018,8,3,2018,0,1,12,30,234,7,-1,1,-1,-1,5,1,2,0,11,8,0,1,0,7,0,0,3,1,4,2,3,15.5284,15.9258,16.0941,15.8937,15.6756,15.9254,15.8116,15.5268,15.8323,15.5229,15.7690,15.7019,15.7276,15.7524,15.7375,15.8076,16.0164,15.6991,15.6826,16.2505,16.0937,15.7925,15.7352,15.4285,15.8472,15.6124,15.7634,15.7600,15.8588,15.8844,16.0028,15.8008,15.5905,15.8140,15.9358,16.0525,15.7873,16.0823,15.7716,16.2437,15.7553,16.2090,15.8954,15.7822,0.0000,16.1643,15.6230,15.9700,15.7146,15.8617,16.1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2402,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,1,5,4,5,5,5,5,4,5,5,5,5,5,5,5,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,5,80,80,4,3,3,95,30,36,02272018,27,2,2018,0,2,4,45,124,8,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,4,1,2,74.8402,76.0744,75.3087,76.2643,75.9794,74.2846,76.4096,75.2102,75.6851,77.2237,76.1253,76.4144,74.8683,77.1603,76.9343,75.1597,76.0493,75.4284,77.4172,76.9827,78.5191,77.0164,0.0000,76.3892,77.1693,76.2277,76.0092,76.6865,75.6471,77.5992,76.4004,75.8423,76.2409,77.0223,76.3461,76.8040,76.9606,77.5892,77.0508,76.1533,76.8284,76.0550,76.3449,78.0634,74.7251,76.2364,76.5150,77.3692,76.6777,75.0364,75.2939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
