vote age men economic.cond.national economic.cond.household Blair Hague Kennedy Europe political.knowledge
1   "Liberal Democrat"    43  0   3   3   4   1   4    2  2
2   Labour                36  1   4   4   4   4   4    5  2
3   Labour                35  1   4   4   5   2   3    3  2
4   Labour                24  0   4   2   2   1   3    4  0
5   Labour                41  1   2   2   1   1   4    6  2
6   Labour                47  1   3   4   4   4   2    4  2
7   "Liberal Democrat"    57  1   2   2   4   4   2   11  2
8   Labour                77  1   3   4   4   1   4    1  0
9   Labour                39  0   3   3   4   4   4   11  0
10  Labour                70  1   3   2   5   1   1   11  2
11  Labour                39  0   3   3   1   2   1    7  0
12  Labour                66  1   4   3   4   4   4    9  2
13  Labour                59  0   4   4   4   1   4   10  2
14  Labour                66  0   3   3   2   5   4    8  0
15  Labour                77  0   2   3   2   1   4   11  2
16  Labour                51  1   4   4   4   4   4    5  0
17  Labour                43  0   2   4   1   4   3    8  0
18  Labour                41  0   4   4   5   4   2    7  2
19  Labour                79  1   3   3   4   2   4    1  0
20  Labour                37  0   3   1   1   1   4    5  2
21  Labour                38  1   3   3   4   4   2    7  0
22  "Liberal Democrat"    53  1   2   1   2   4   4    5  2
23  Labour                59  1   3   3   4   2   2    1  2
24  Conservative          44  1   2   4   4   4   4    9  2
25  Conservative          60  0   3   2   4   4   4    2  2
26  Labour                51  0   3   3   4   3   3    6  0
27  Conservative          56  0   2   2   2   4   4    9  2
28  Labour                51  0   3   2   4   2   4    2  2
29  Labour                44  1   3   3   4   2   4    1  2
30  Labour                61  1   4   3   5   1   2    1  2
31  Labour                55  0   3   3   4   4   2    6  2
32  Labour                66  1   3   2   2   2   2    6  0
33  Labour                59  0   3   3   2   2   2    1  2
34  Labour                62  1   4   3   4   2   2    1  2
35  Conservative          76  0   3   4   4   4   4    3  2
36  Labour                41  0   3   1   4   4   3    6  3
37  Labour                27  0   2   2   2   2   3    7  0
38  Labour                52  1   4   3   4   4   4    3  2
39  Labour                48  0   3   3   4   4   3   11  0
40  Conservative          72  0   1   3   2   2   2   11  2
41  Labour                42  0   4   4   4   2   2    6  0
42  Labour                48  0   3   2   4   2   2    4  0
43  Labour                66  0   1   1   4   2   4    8  0
44  Labour                52  0   3   3   4   1   3    1  2
45  Labour                37  1   4   3   4   2   4    4  2
46  Conservative          52  0   2   2   4   4   1    6  3
47  "Liberal Democrat"    54  0   2   3   4   2   2    7  2
48  Conservative          50  1   2   2   1   4   3   10  2
49  Labour                46  1   4   3   4   4   1    4  3
50  Labour                62  1   5   3   5   1   5    1  2
51  Labour                61  1   3   3   4   4   4    4  2
52  Labour                33  1   2   3   4   4   2    9  0
53  Labour                51  1   4   3   5   4   2    1  2
54  Labour                59  0   4   4   4   5   2   11  0
55  Labour                58  0   4   4   5   1   4    1  0
56  Labour                64  1   4   3   4   4   3    4  0
57  "Liberal Democrat"    42  1   3   4   4   1   4    4  3
58  Labour                32  1   1   2   1   4   1    1  2
59  Conservative          62  1   5   3   4   5   3    9  0
60  Labour                71  0   2   3   5   2   2    6  2
61  Labour                37  0   3   3   4   2   2    8  0
62  Labour                61  1   5   4   4   1   4   11  2
63  Labour                28  0   4   1   4   2   2    6  2
64  Labour                41  0   3   3   4   4   4    7  0
65  Labour                77  1   3   3   4   3   3    6  2
66  Labour                34  0   3   4   4   4   3    8  0
