firstName	lastName	team86	league86	W86	L86	ERA86	G86	IP86	SV86	years	careerW	careerL	careerERA	careerG	careerIP	careerSV	salary	league87	team87
Don	Aase	Bal.	A	6	7	2.98	66	81.2	34	9	61	54	3.74	325	956.2	75	625	A	Bal.
Jim	Acker	Atl.	N	5	12	4.01	44	155	0	4	20	20	3.99	175	411	12	350	N	Atl.
Rick	Aguilera	N.Y.	N	10	7	3.88	28	141.2	0	2	20	14	3.58	49	264	0	195	N	N.Y.
Doyle	Alexander	Atl.	N	11	10	4.14	34	228.1	0	16	160	135	3.71	467	2709	3	NA	N	Atl.
Neil	Allen	Chi.	A	7	2	3.82	22	113	0	8	53	58	3.65	367	793.2	75	1200	A	Chi.
Joaquin	Andujar	Oak.	A	12	7	3.82	28	155.1	1	11	122	108	3.49	369	2014	9	1270	A	Oak.
Paul	Assenmacher	Atl.	N	7	3	2.5	61	68.1	7	1	7	3	2.5	61	68.1	7	80	N	Atl.
Keith	Atherton	Min.	A	6	10	4.08	60	97	10	4	19	28	3.97	202	374	19	300	A	Min.
Scott	Bailes	Cle.	A	10	10	4.95	62	112.2	7	1	10	10	4.95	62	112.2	7	80	A	Cle.
Jay	Baller	Chi.	N	2	4	5.37	36	53.2	5	3	4	7	4.35	60	113.2	6	NA	N	Chi.
Scott	Bankhead	K.C.	A	8	9	4.61	24	121	0	1	8	9	4.61	24	121	0	75	A	Sea.
Floyd	Bannister	Chi.	A	10	14	3.54	28	165.1	0	10	101	117	4.03	300	1832.1	0	930	A	Chi.
Steve	Bedrosian	Phi.	N	8	6	3.39	68	90.1	29	6	42	45	3.27	294	662.1	70	825	N	Phi.
Eric	Bell	Bal.	A	1	2	5.01	4	23.1	0	2	1	2	4.97	8	29	0	62.5	A	Bal.
Mike	Bielecki	Pit.	N	6	11	4.66	31	148.2	0	3	8	14	4.53	47	198.2	0	NA	N	Pit.
Bud	Black	K.C.	A	5	10	3.2	56	121	9	6	46	50	3.71	172	834.1	9	600	A	K.C.
Vida	Blue	S.F.	N	10	10	3.27	28	156.2	0	17	209	161	3.26	502	3344	2	NA	N	S.F.
Bert	Blyleven	Min.	A	17	14	4.01	36	271.2	0	17	229	197	3.08	541	3987.1	0	1150	A	Min.
Mike	Boddicker	Bal.	A	14	12	4.7	33	218.1	0	7	63	49	3.6	136	900.2	0	800	A	Bal.
Rich	Bordi	Bal.	A	6	4	4.46	52	107	3	7	17	18	4	155	330.2	10	NA	A	Bal.
