household province population weight education gender age income voted
869 QC 5996930 6153.85 bachelors Female 51 60-89 Yes
2851 BC 3267345 4287.85 somePS Female 72 <30 Yes
521 QC 5996930 9230.78 bachelors Male 50 110+ Yes
222 NB 582625 7437.77 HS Female 40 30-59 Yes
2118 QC 5996930 6153.85 college Male 55 60-89 Yes
1815 NL 406455 3430 somePS Female 54 30-59 Yes
1799 ON 9439960 8977.61 higher Male 60 60-89 Yes
1103 ON 9439960 8977.61 higher Female 57 110+ Yes
2636 NL 406455 1715 HS Female 67 30-59 NA
957 NL 406455 3430 lessHS Female 75 <30 Yes
3431 NL 406455 1715 college Female 31 <30 No
2516 NL 406455 1715 college Male 44 30-59 Yes
959 NL 406455 3430 lessHS Male 64 30-59 Yes
2380 NL 406455 3430 somePS Female 43 60-89 Yes
960 NL 406455 3430 higher Male 62 60-89 NA
961 NL 406455 3430 HS Male 30 30-59 Yes
1358 NL 406455 3430 HS Male 67 30-59 Yes
2637 NL 406455 1715 lessHS Female 69 <30 Yes
962 NL 406455 3430 bachelors Male 42 110+ Yes
963 NL 406455 3430 bachelors Female 58 60-89 Yes
964 NL 406455 3430 college Male 35 30-59 Yes
3432 NL 406455 1715 lessHS Male 38 <30 No
2639 NL 406455 1715 somePS Male 54 <30 NA
967 NL 406455 3430 lessHS Female 66 <30 Yes
2578 NL 406455 1715 higher Female 65 60-89 NA
862 NL 406455 3430 lessHS Male 63 <30 Yes
747 NL 406455 3430 somePS Female 48 60-89 Yes
3000 NL 406455 1715 lessHS Female 87 <30 Yes
2019 NL 406455 3430 bachelors Male 34 90:109 Yes
748 NL 406455 3430 HS Female 68 NA NA
969 NL 406455 3430 bachelors Female 45 60-89 No
970 NL 406455 3430 bachelors Male 50 110+ Yes
971 NL 406455 3430 somePS Female 53 60-89 No
2640 NL 406455 1715 bachelors Female 53 60-89 Yes
972 NL 406455 3430 HS Female 36 60-89 NA
198 NL 406455 5145 lessHS Female 45 30-59 No
3301 NL 406455 1715 somePS Female 44 <30 NA
749 NL 406455 3430 higher Male 43 110+ No
1932 NL 406455 3430 somePS Male 75 30-59 NA
973 NL 406455 3430 bachelors Male 58 30-59 Yes
974 NL 406455 3430 college Male 32 <30 Yes
975 NL 406455 3430 HS Female 32 30-59 NA
1625 NL 406455 3430 higher Male 41 110+ NA
89 NL 406455 6860 college Female 52 110+ NA
61 NL 406455 6860 somePS Female 34 60-89 No
976 NL 406455 3430 HS Male 37 60-89 NA
977 NL 406455 3430 HS Female 49 30-59 NA
2641 NL 406455 1715 bachelors Female 41 60-89 Yes
3433 NL 406455 1715 lessHS Male 75 30-59 Yes
978 NL 406455 3430 bachelors Male 22 <30 Yes
750 NL 406455 3430 bachelors Female 35 60-89 Yes
2508 NL 406455 1715 somePS Male 39 60-89 No
980 NL 406455 3430 higher Female 43 110+ Yes
1626 NL 406455 3430 HS Female 39 60-89 Yes
1410 NL 406455 3430 bachelors Male 38 60-89 NA
981 NL 406455 3430 HS Female 41 30-59 NA
982 NL 406455 3430 lessHS Male NA <30 NA
523 NL 406455 5145 college Female 21 NA No
983 NL 406455 3430 college Female 60 60-89 Yes
2642 NL 406455 1715 higher Male 68 30-59 No
985 NL 406455 3430 HS Male 37 110+ Yes
1627 NL 406455 3430 lessHS Male 59 <30 Yes
3090 NL 406455 1715 HS Male 66 60-89 NA
986 NL 406455 3430 somePS Male 33 30-59 NA
2643 NL 406455 1715 college Male 38 60-89 NA
987 NL 406455 3430 college Female NA NA No
275 NL 406455 5145 lessHS Male 48 60-89 Yes
989 NL 406455 3430 bachelors Female 46 110+ Yes
2381 NL 406455 3430 lessHS Male 65 <30 Yes
2644 NL 406455 1715 bachelors Female 65 60-89 NA
2382 NL 406455 3430 somePS Female NA NA Yes
990 NL 406455 3430 college Male 45 110+ No
751 NL 406455 3430 NA Female NA NA NA
991 NL 406455 3430 lessHS Male 65 <30 No
3258 NL 406455 1715 lessHS Female 67 <30 Yes
2646 NL 406455 1715 somePS Male 56 30-59 Yes
2647 NL 406455 1715 lessHS Female 50 60-89 Yes
992 NL 406455 3430 college Male 41 30-59 NA
993 NL 406455 3430 college Female 46 NA Yes
2160 NL 406455 3430 college Male 61 90:109 Yes
2648 NL 406455 1715 lessHS Female 50 30-59 NA
3001 NL 406455 1715 college Female 38 30-59 NA
994 NL 406455 3430 bachelors Female 34 110+ NA
2427 NL 406455 1715 HS Female 69 NA NA
2161 NL 406455 3430 college Female NA 30-59 No
348 NL 406455 5145 HS Male 41 30-59 Yes
542 NL 406455 3430 somePS Female 65 <30 No
995 NL 406455 3430 college Female 43 60-89 Yes
996 NL 406455 3430 lessHS Male 49 30-59 Yes
375 NL 406455 5145 college Female 34 110+ Yes
997 NL 406455 3430 lessHS Male 54 30-59 Yes
998 NL 406455 3430 lessHS Female 47 30-59 Yes
1628 NL 406455 3430 lessHS Male 69 <30 NA
276 NL 406455 5145 HS Female 48 30-59 NA
2649 NL 406455 1715 HS Female 61 30-59 Yes
999 NL 406455 3430 higher Female 30 30-59 NA
1412 NL 406455 3430 bachelors Female 52 NA Yes
398 NL 406455 5145 HS Female 27 NA Yes
277 NL 406455 5145 college Male 25 30-59 NA
78 NL 406455 6860 college Male 32 60-89 Yes
1629 NL 406455 3430 college Female 44 110+ Yes
1000 NL 406455 3430 lessHS Female 55 NA Yes
1413 NL 406455 3430 lessHS Female 64 <30 No
581 NL 406455 3430 somePS Female 44 <30 Yes
1001 NL 406455 3430 bachelors Male 59 90:109 Yes
3002 NL 406455 1715 higher Male 51 <30 No
1816 NL 406455 3430 HS Male 49 NA NA
1630 NL 406455 3430 HS Female 57 30-59 Yes
1002 NL 406455 3430 college Female 45 60-89 Yes
1003 NL 406455 3430 bachelors Male 34 110+ Yes
3003 NL 406455 1715 college Male 29 <30 Yes
3434 NL 406455 1715 lessHS Female 84 30-59 Yes
278 NL 406455 5145 higher Male 81 60-89 Yes
1004 NL 406455 3430 HS Female 84 NA Yes
863 NL 406455 3430 bachelors Male 46 110+ Yes
524 NL 406455 5145 HS Female 47 30-59 NA
1006 NL 406455 3430 HS Male 40 30-59 No
2651 NL 406455 1715 lessHS Female 90 NA NA
2652 PE 105780 435.31 HS Male 50 30-59 Yes
654 PE 105780 870.62 college Female 67 90:109 Yes
2653 PE 105780 435.31 college Female 59 NA Yes
233 PE 105780 1305.93 somePS Female 20 <30 Yes
1708 PE 105780 870.62 bachelors Male 46 110+ NA
3091 PE 105780 435.31 college Female 40 30-59 Yes
752 PE 105780 870.62 bachelors Female 53 90:109 Yes
2654 PE 105780 435.31 lessHS Male 63 110+ Yes
2885 PE 105780 435.31 lessHS Male 83 <30 Yes
3004 PE 105780 435.31 HS Female 42 <30 NA
2655 PE 105780 435.31 bachelors Male 45 30-59 Yes
399 PE 105780 1305.93 HS Female 55 60-89 Yes
1007 PE 105780 870.62 college Male 72 30-59 Yes
1008 PE 105780 870.62 HS Male 51 90:109 Yes
215 PE 105780 1305.93 HS Male 23 30-59 Yes
1009 PE 105780 870.62 HS Male 64 110+ Yes
2656 PE 105780 435.31 somePS Female 68 <30 Yes
2490 PE 105780 435.31 lessHS Male 85 90:109 Yes
753 PE 105780 870.62 higher Female 43 30-59 NA
1010 PE 105780 870.62 HS Female NA 30-59 NA
90 PE 105780 1741.23 lessHS Female 24 30-59 Yes
1414 PE 105780 870.62 bachelors Female 38 60-89 NA
839 PE 105780 870.62 college Female 45 60-89 Yes
1818 PE 105780 870.62 higher Male 62 90:109 Yes
1415 PE 105780 870.62 HS Female 57 60-89 Yes
1819 PE 105780 870.62 higher Male 67 110+ Yes
1011 PE 105780 870.62 lessHS Female 68 <30 Yes
3149 PE 105780 435.31 bachelors Female 83 30-59 Yes
91 PE 105780 1741.23 college Female 45 60-89 Yes
1012 PE 105780 870.62 college Female 42 NA Yes
2624 PE 105780 435.31 college Female 82 NA Yes
1013 PE 105780 870.62 lessHS Male 77 60-89 Yes
1014 PE 105780 870.62 bachelors Female 34 110+ NA
279 PE 105780 1305.93 somePS Female 61 60-89 NA
1015 PE 105780 870.62 HS Female 53 30-59 Yes
1016 PE 105780 870.62 bachelors Female 32 60-89 Yes
1631 PE 105780 870.62 higher Female 33 90:109 NA
1820 PE 105780 870.62 college Male 59 90:109 Yes
2384 PE 105780 870.62 bachelors Male 38 110+ Yes
2659 PE 105780 435.31 HS Female NA <30 NA
1017 PE 105780 870.62 college Female 65 30-59 Yes
1821 PE 105780 870.62 HS Female 33 30-59 Yes
2660 PE 105780 435.31 bachelors Male 54 60-89 Yes
3005 PE 105780 435.31 lessHS Male 51 <30 NA
1018 PE 105780 870.62 HS Female 71 <30 NA
2579 PE 105780 435.31 college Female 74 <30 Yes
1019 PE 105780 870.62 somePS Female 31 30-59 Yes
1020 PE 105780 870.62 bachelors Male 53 60-89 NA
1021 PE 105780 870.62 bachelors Female 50 60-89 No
280 PE 105780 1305.93 lessHS Female 72 90:109 Yes
2661 PE 105780 435.31 HS Female 30 30-59 Yes
281 PE 105780 1305.93 somePS Female 44 30-59 Yes
2886 PE 105780 435.31 lessHS Male 77 <30 Yes
282 PE 105780 1305.93 HS Male 47 110+ Yes
1417 PE 105780 870.62 HS Male 63 30-59 Yes
2662 PE 105780 435.31 somePS Female 57 30-59 Yes
2663 PE 105780 435.31 HS Female 63 <30 NA
1023 PE 105780 870.62 bachelors Female 67 30-59 Yes
2025 PE 105780 870.62 higher Female 37 110+ Yes
283 PE 105780 1305.93 lessHS Female 84 30-59 Yes
1024 PE 105780 870.62 HS Female 23 NA Yes
2664 PE 105780 435.31 lessHS Male 56 30-59 Yes
109 PE 105780 1741.23 college Female 57 NA Yes
192 PE 105780 1741.23 bachelors Female NA NA NA
1025 PE 105780 870.62 HS Female 63 <30 Yes
2665 PE 105780 435.31 HS Female 76 30-59 Yes
1026 PE 105780 870.62 somePS Male 42 NA NA
1027 PE 105780 870.62 bachelors Female 38 NA NA
1028 PE 105780 870.62 HS Male 48 60-89 Yes
2080 PE 105780 870.62 lessHS Male 77 30-59 Yes
