 participation husbanIncome children region
1   notwork       15  present  Ontario
2   notwork       13  present  Ontario
3   notwork       45  present  Ontario
4   notwork       23  present  Ontario
5   notwork       19  present  Ontario
6   notwork        7  present  Ontario
7   notwork       15  present  Ontario
8   fulltime       7  present  Ontario
9   notwork       15  present  Ontario
10  notwork       23  present  Ontario
11  notwork       23  present  Ontario
12  fulltime      13  present  Ontario
13  notwork        9  present  Prairie
14  notwork        9  present  Prairie
15  notwork       45  present Atlantic
16  notwork       15  present Atlantic
17  notwork        5  present  Ontario
18  notwork        9  present  Ontario
19  notwork       13  present  Ontario
20  notwork       13   absent  Ontario
21  parttime      19   absent  Ontario
22  notwork       23  present  Prairie
23  fulltime      10   absent  Prairie
24  fulltime      11   absent  Ontario
25  notwork       23  present  Ontario
26  notwork       23  present  Ontario
27  notwork       19  present  Ontario
28  notwork       19  present  Ontario
29  notwork       17  present  Prairie
30  fulltime      14  present  Prairie
31  notwork       13  present  Ontario
32  notwork       13  present  Ontario
33  notwork       15  present  Ontario
34  notwork        9   absent  Ontario
35  notwork        9   absent  Ontario
36  notwork       19   absent  Ontario
37  notwork       15  present  Ontario
38  fulltime      20   absent  Ontario
39  notwork        9  present Atlantic
40  parttime       6   absent Atlantic
41  notwork        9  present       BC
42  parttime       4  present  Ontario
43  parttime      28   absent  Ontario
44  notwork       23  present  Ontario
45  parttime       5  present  Ontario
46  notwork       28  present  Ontario
47  notwork        7  present  Ontario
48  notwork        7  present  Ontario
49  notwork       23  present  Prairie
50  fulltime      15   absent  Prairie
51  parttime      10  present  Prairie
52  parttime      10  present  Prairie
53  notwork        9   absent  Ontario
54  notwork        9   absent  Ontario
55  parttime       9  present Atlantic
56  notwork       17   absent Atlantic
57  notwork       23  present Atlantic
58  notwork       23  present Atlantic
59  notwork        9  present  Ontario
60  notwork        9  present  Ontario
61  fulltime       9   absent  Ontario
62  fulltime      28   absent  Ontario
63  parttime      10  present  Ontario
64  parttime      23   absent  Prairie
65  notwork       11  present  Prairie
66  notwork       15  present  Ontario
67  notwork       15  present  Ontario
68  notwork       19  present  Ontario
69  notwork       19  present  Ontario
70  notwork       23  present  Ontario
71  notwork       17  present  Ontario
72  notwork       17  present  Ontario
73  notwork       17  present  Ontario
74  notwork       17  present  Ontario
75  notwork       17  present  Ontario
76  parttime      38  present  Ontario
77  parttime      38  present  Ontario
78  notwork        7  present Atlantic
79  notwork       19  present  Prairie
