experience	education	race	occupation
1	3	11	white	menial
2	14	12	white	menial
3	44	12	white	menial
4	18	12	white	menial
5	24	14	nonwhite	menial
6	38	13	white	menial
7	8	14	nonwhite	menial
8	19	14	white	menial
9	8	12	white	menial
10	3	12	white	menial
11	6	12	white	menial
12	40	11	white	menial
13	2	12	white	menial
14	22	12	white	menial
15	4	12	white	menial
16	22	9	white	menial
17	39	6	white	menial
18	3	12	white	menial
19	3	10	white	menial
20	7	9	white	menial
21	27	15	nonwhite	menial
22	52	6	nonwhite	menial
23	3	12	nonwhite	menial
24	35	12	white	menial
25	8	14	white	menial
26	34	11	white	menial
27	14	14	white	menial
28	9	9	white	menial
29	9	14	white	menial
30	5	13	white	menial
31	52	14	white	menial
32	10	12	white	bluecollar
33	25	12	white	bluecollar
34	32	12	white	bluecollar
35	29	12	white	bluecollar
36	4	12	white	bluecollar
37	11	15	white	bluecollar
38	11	16	white	bluecollar
39	19	16	white	bluecollar
40	18	12	white	bluecollar
41	25	10	white	bluecollar
42	8	9	white	bluecollar
43	6	10	white	bluecollar
44	2	12	white	bluecollar
45	23	8	white	bluecollar
46	8	12	white	bluecollar
47	29	3	white	bluecollar
48	30	13	white	bluecollar
49	17	12	white	bluecollar
50	9	12	white	bluecollar
51	11	15	white	bluecollar
52	9	14	white	bluecollar
53	17	10	white	bluecollar
54	4	11	white	bluecollar
55	30	9	white	bluecollar
56	22	16	nonwhite	bluecollar
57	29	10	white	bluecollar
58	6	10	white	bluecollar
59	11	16	white	bluecollar
60	5	12	white	bluecollar
61	12	12	white	bluecollar
62	26	8	white	bluecollar
63	35	8	white	bluecollar
64	17	12	white	bluecollar
65	46	6	white	bluecollar
66	6	11	white	bluecollar
67	37	6	white	bluecollar
68	32	11	white	bluecollar
69	43	8	white	bluecollar
70	4	12	white	bluecollar
71	46	6	white	bluecollar
72	51	13	white	bluecollar
73	39	10	white	bluecollar
74	37	12	white	bluecollar
75	10	12	white	bluecollar
76	4	12	white	bluecollar
77	4	12	white	bluecollar
