state region bush age education race gender previous
PA NE yes 30-44 collegeGrad white female 0.5266
NJ NE no 65+ highschool white female 0.5642
CT NE no 18-29 someCollege white female 0.5666
NY NE yes 30-44 highschool white female 0.5244
NY NE yes 65+ collegeGrad white female 0.5244
PA NE yes 30-44 highschool white male 0.5266
ME NE yes 65+ highschool white female 0.5496
NY NE no 45-64 collegeGrad white male 0.5244
RI NE no 45-64 noHS white male 0.4787
NJ NE no 30-44 collegeGrad white female 0.5642
NY NE yes 65+ someCollege white female 0.5244
NY NE yes 30-44 collegeGrad white female 0.5244
NJ NE no 30-44 collegeGrad white female 0.5642
MA NE no 30-44 collegeGrad white female 0.4898
NJ NE yes 65+ highschool white male 0.5642
PA NE yes 65+ noHS white male 0.5266
NJ NE no 18-29 highschool white female 0.5642
NY NE no 30-44 someCollege white male 0.5244
NY NE no 65+ someCollege white female 0.5244
CT NE no 18-29 highschool white male 0.5666
PA NE yes 45-64 highschool white male 0.5266
NY NE no 30-44 collegeGrad white male 0.5244
NY NE yes 30-44 collegeGrad white male 0.5244
MA NE no 45-64 collegeGrad white female 0.4898
NJ NE yes 18-29 highschool white male 0.5642
NJ NE yes 45-64 collegeGrad white female 0.5642
NJ NE no 65+ someCollege white female 0.5642
MA NE no 30-44 noHS white male 0.4898
NY NE no 45-64 highschool white female 0.5244
TX S no 65+ noHS white male 0.594
MA NE no 30-44 someCollege white male 0.4898
PA NE no 30-44 collegeGrad white male 0.5266
NY NE no 18-29 someCollege white male 0.5244
FL S no 30-44 highschool white female 0.6116
NJ NE yes 65+ noHS white female 0.5642
AR S yes 45-64 highschool white female 0.5397
NJ NE yes 45-64 highschool white female 0.5642
TX S no 45-64 collegeGrad white male 0.594
IL MW yes 30-44 highschool white female 0.537
SC S yes 45-64 collegeGrad white male 0.5728
MA NE yes 18-29 collegeGrad white female 0.4898
FL S yes 18-29 noHS white male 0.6116
SC S yes 30-44 collegeGrad white female 0.5728
PA NE yes 18-29 someCollege white male 0.5266
SC S yes 30-44 collegeGrad white female 0.5728
LA S yes 45-64 highschool white male 0.5841
IL MW no 30-44 highschool white female 0.537
VA S no 30-44 collegeGrad white female 0.6081
OK S no 45-64 noHS white female 0.6032
MA NE no 18-29 collegeGrad white female 0.4898
NJ NE yes 45-64 noHS white female 0.5642
GA S no 30-44 someCollege white female 0.523
OH MW yes 18-29 someCollege white male 0.5522
MN MW yes 30-44 highschool white male 0.5055
LA S yes 30-44 highschool white female 0.5841
CT NE yes 30-44 someCollege white male 0.5666
MS S yes 18-29 collegeGrad white male 0.583
VA S no 65+ noHS white female 0.6081
KS MW no 65+ noHS white male 0.6021
MO MW no 30-44 highschool white female 0.5336
WV NE no 30-44 highschool white female 0.4936
IL MW yes 30-44 collegeGrad white male 0.537
KY S no 30-44 someCollege white female 0.5292
MD NE no 30-44 collegeGrad white female 0.5012
OK S yes 45-64 collegeGrad white female 0.6032
SC S yes 18-29 highschool black male 0.5728
GA S yes 18-29 someCollege white female 0.523
TN S yes 30-44 someCollege white female 0.5543
IL MW no 45-64 collegeGrad white male 0.537
NY NE yes 18-29 highschool white male 0.5244
MS S yes 18-29 highschool white male 0.583
WV NE yes 30-44 someCollege white female 0.4936
LA S yes 30-44 collegeGrad white female 0.5841
MS S yes 45-64 highschool white female 0.583
TX S yes 30-44 collegeGrad white male 0.594
TN S yes 45-64 noHS white male 0.5543
VA S yes 30-44 someCollege white male 0.6081
IL MW no 30-44 highschool white male 0.537
LA S yes 65+ highschool white female 0.5841
KS MW yes 18-29 noHS white male 0.6021
NC S yes 45-64 noHS white female 0.5718
GA S yes 45-64 highschool white male 0.523
TX S yes 18-29 collegeGrad white female 0.594
MN MW yes 18-29 collegeGrad white male 0.5055
FL S yes 18-29 highschool black female 0.6116
FL S no 65+ collegeGrad white female 0.6116
IL MW yes 18-29 highschool white female 0.537
OH MW no 18-29 someCollege white male 0.5522
SC S no 18-29 highschool white male 0.5728
GA S no 45-64 noHS white male 0.523
TX S no 45-64 someCollege black female 0.594
GA S no 18-29 highschool white female 0.523
FL S yes 30-44 someCollege white male 0.6116
TX S no 30-44 collegeGrad white male 0.594
IL MW no 30-44 collegeGrad white female 0.537
WI MW no 45-64 someCollege white male 0.5278
TX S no 65+ highschool black female 0.594
MD NE no 30-44 highschool white male 0.5012
MD NE yes 45-64 collegeGrad white male 0.5012
TN S no 65+ highschool white female 0.5543
KY S no 18-29 highschool white female 0.5292
MI MW no 18-29 highschool white male 0.5481
MO MW yes 30-44 highschool white female 0.5336
VA S yes 30-44 noHS white male 0.6081
LA S yes 30-44 someCollege white female 0.5841
FL S no 18-29 highschool white male 0.6116
NC S yes 45-64 collegeGrad white male 0.5718
TX S yes 45-64 highschool white female 0.594
FL S no 30-44 highschool black male 0.6116
IN MW yes 45-64 collegeGrad white female 0.5818
MS S yes 18-29 someCollege white male 0.583
MI MW no 65+ highschool white female 0.5481
TX S no 18-29 someCollege white female 0.594
NC S yes 30-44 highschool white female 0.5718
NC S yes 18-29 noHS white female 0.5718
TX S yes 65+ noHS white female 0.594
VA S yes 18-29 someCollege white female 0.6081
WV NE yes 45-64 noHS white female 0.4936
KY S yes 30-44 noHS white male 0.5292
FL S yes 30-44 noHS white male 0.6116
MI MW no 30-44 highschool black female 0.5481
FL S no 30-44 highschool white male 0.6116
MN MW no 65+ noHS white male 0.5055
TX S no 18-29 noHS white male 0.594
IL MW yes 45-64 collegeGrad white female 0.537
WV NE no 30-44 highschool white female 0.4936
FL S no 30-44 highschool black male 0.6116
TN S yes 65+ highschool white female 0.5543
AZ W yes 30-44 someCollege white female 0.6134
ID W no 30-44 collegeGrad white female 0.6574
TX S no 45-64 collegeGrad white female 0.594
IL MW yes 65+ collegeGrad white female 0.537
TX S yes 65+ collegeGrad white female 0.594
OH MW yes 30-44 highschool white female 0.5522
MS S yes 30-44 collegeGrad white female 0.583
WV NE yes 65+ noHS white female 0.4936
VA S no 45-64 collegeGrad white female 0.6081
WA W yes 30-44 highschool white female 0.5544
FL S yes 45-64 collegeGrad white male 0.6116
IA MW no 18-29 collegeGrad white female 0.5248
SC S no 18-29 someCollege white male 0.5728
TX S yes 65+ collegeGrad white male 0.594
OH MW yes 18-29 someCollege white male 0.5522
MN MW yes 18-29 someCollege white female 0.5055
WA W yes 45-64 noHS white female 0.5544
OH MW yes 18-29 someCollege white female 0.5522
IL MW yes 45-64 someCollege white female 0.537
FL S yes 18-29 someCollege white male 0.6116
NE MW yes 65+ noHS white female 0.6655
CA W yes 30-44 collegeGrad white male 0.5437
MN MW no 45-64 highschool white male 0.5055
DE NE no 30-44 highschool white male 0.5346
CA W no 30-44 someCollege white female 0.5437
MI MW no 30-44 highschool white female 0.5481
NE MW no 18-29 highschool white female 0.6655
ND MW yes 30-44 collegeGrad white male 0.6144
CA W no 18-29 someCollege white female 0.5437
AZ W no 45-64 noHS white female 0.6134
FL S yes 30-44 collegeGrad white male 0.6116
WA W yes 18-29 highschool white male 0.5544
NE MW yes 18-29 collegeGrad white female 0.6655
TX S yes 45-64 collegeGrad white male 0.594
MI MW no 18-29 someCollege white male 0.5481
IL MW yes 18-29 highschool white female 0.537
MO MW no 30-44 highschool white female 0.5336
MI MW yes 18-29 collegeGrad white female 0.5481
KY S no 45-64 highschool white female 0.5292
KS MW yes 30-44 highschool white female 0.6021
IL MW no 30-44 someCollege black female 0.537
MI MW no 45-64 collegeGrad white female 0.5481
CA W yes 45-64 highschool white male 0.5437
IL MW no 18-29 highschool white male 0.537
CA W no 45-64 highschool white female 0.5437
CA W no 30-44 someCollege white female 0.5437
IL MW no 45-64 someCollege white female 0.537
CA W yes 65+ someCollege white male 0.5437
NM W no 45-64 collegeGrad white female 0.5478
OH MW yes 30-44 someCollege white female 0.5522
CA W no 45-64 someCollege white female 0.5437
WA W no 65+ highschool white female 0.5544
KS MW no 30-44 collegeGrad white male 0.6021
WA W no 18-29 someCollege white female 0.5544
WA W yes 45-64 someCollege white female 0.5544
CA W no 30-44 collegeGrad white male 0.5437
CA W yes 45-64 someCollege white male 0.5437
CA W yes 18-29 highschool white male 0.5437
NM W no 30-44 someCollege white female 0.5478
OR W no 30-44 collegeGrad white male 0.5443
OH MW no 45-64 highschool white female 0.5522
CA W yes 30-44 collegeGrad white male 0.5437
WI MW yes 30-44 someCollege white male 0.5278
CA W no 65+ highschool white male 0.5437
NM W yes 45-64 highschool white male 0.5478
CA W yes 65+ highschool white female 0.5437
WA W yes 65+ someCollege white female 0.5544
CA W no 30-44 someCollege white male 0.5437
CA W yes 45-64 collegeGrad white male 0.5437
UT W yes 45-64 collegeGrad white male 0.6927
UT W yes 18-29 someCollege white female 0.6927
CA W yes 45-64 highschool white female 0.5437
TX S yes 30-44 collegeGrad black female 0.594
CA W yes 30-44 someCollege white female 0.5437
MA NE no 30-44 collegeGrad white male 0.4898
NJ NE no 30-44 highschool white male 0.5642
NJ NE no 18-29 collegeGrad white female 0.5642
TN S yes 30-44 someCollege white female 0.5543
FL S yes 30-44 collegeGrad white male 0.6116
CA W no 45-64 highschool white female 0.5437
OH MW no 65+ someCollege white female 0.5522
CA W yes 30-44 highschool white female 0.5437
NY NE yes 18-29 noHS white male 0.5244
OH MW yes 18-29 highschool white male 0.5522
CA W yes 30-44 someCollege white female 0.5437
IL MW no 18-29 collegeGrad black male 0.537
SC S no 18-29 highschool white male 0.5728
WA W no 45-64 someCollege white female 0.5544
CA W yes 30-44 collegeGrad white male 0.5437
MI MW yes 45-64 collegeGrad white female 0.5481
NY NE no 18-29 collegeGrad white male 0.5244
WI MW yes 30-44 collegeGrad white female 0.5278
OH MW no 30-44 highschool white female 0.5522
OH MW no 18-29 highschool white female 0.5522
NY NE no 45-64 collegeGrad white male 0.5244
VA S yes 45-64 someCollege white female 0.6081
RI NE no 30-44 someCollege white female 0.4787
IL MW yes 30-44 collegeGrad white female 0.537
OH MW yes 18-29 highschool white female 0.5522
CA W yes 30-44 highschool white male 0.5437
MA NE no 45-64 collegeGrad white female 0.4898
CA W yes 18-29 highschool white female 0.5437
OR W yes 30-44 highschool white male 0.5443
RI NE no 65+ noHS white female 0.4787
AZ W yes 45-64 highschool white male 0.6134
WI MW yes 18-29 collegeGrad white female 0.5278
UT W yes 30-44 collegeGrad white male 0.6927
MN MW yes 18-29 highschool white male 0.5055
OH MW yes 65+ highschool white male 0.5522
IA MW no 45-64 highschool white female 0.5248
ME NE no 18-29 collegeGrad white male 0.5496
TX S no 18-29 collegeGrad white male 0.594
NM W yes 30-44 someCollege white female 0.5478
WI MW yes 30-44 highschool white female 0.5278
AZ W no 45-64 highschool white female 0.6134
MI MW no 45-64 highschool white female 0.5481
MN MW no 30-44 someCollege white female 0.5055
MA NE yes 45-64 collegeGrad white male 0.4898
CO W yes 30-44 someCollege white female 0.5846
NJ NE yes 30-44 collegeGrad white female 0.5642
VA S yes 18-29 someCollege white male 0.6081
MN MW yes 18-29 someCollege white female 0.5055
MD NE yes 18-29 someCollege white female 0.5012
WV NE yes 45-64 highschool white male 0.4936
MI MW yes 30-44 highschool white male 0.5481
CO W no 30-44 collegeGrad white female 0.5846
NJ NE no 45-64 highschool white female 0.5642
WA W yes 18-29 someCollege white female 0.5544
KS MW yes 18-29 someCollege white female 0.6021
OK S yes 18-29 someCollege white male 0.6032
OH MW yes 45-64 highschool white female 0.5522
OH MW yes 45-64 collegeGrad white female 0.5522
CA W no 30-44 collegeGrad white male 0.5437
NY NE no 30-44 collegeGrad black male 0.5244
TN S no 18-29 someCollege black male 0.5543
LA S no 18-29 highschool black male 0.5841
MO MW no 18-29 collegeGrad white male 0.5336
TN S yes 45-64 highschool white male 0.5543
LA S no 30-44 someCollege black male 0.5841
NJ NE yes 18-29 someCollege white male 0.5642
FL S no 65+ highschool white female 0.6116
PA NE yes 45-64 collegeGrad white male 0.5266
TN S no 30-44 collegeGrad white female 0.5543
MA NE yes 18-29 highschool white female 0.4898
MI MW no 30-44 collegeGrad white female 0.5481
GA S yes 45-64 highschool white female 0.523
IL MW no 45-64 noHS white female 0.537
SC S yes 18-29 highschool black male 0.5728
NC S yes 45-64 someCollege white female 0.5718
IL MW no 18-29 highschool white male 0.537
WV NE no 30-44 someCollege white male 0.4936
FL S no 18-29 noHS white male 0.6116
MI MW no 45-64 collegeGrad white male 0.5481
MA NE no 30-44 highschool white female 0.4898
WI MW no 18-29 collegeGrad white male 0.5278
NY NE no 30-44 highschool white male 0.5244
TN S no 45-64 highschool white female 0.5543
AR S no 65+ highschool white male 0.5397
OH MW yes 30-44 highschool white female 0.5522
GA S no 45-64 noHS black female 0.523
MI MW no 30-44 highschool white female 0.5481
FL S yes 45-64 someCollege white female 0.6116
MA NE no 18-29 someCollege white female 0.4898
PA NE no 65+ collegeGrad white female 0.5266
MA NE yes 65+ someCollege white male 0.4898
OK S yes 18-29 someCollege white male 0.6032
IL MW yes 30-44 someCollege white female 0.537
IL MW no 65+ highschool white male 0.537
MN MW no 18-29 someCollege white female 0.5055
PA NE no 30-44 highschool white male 0.5266
MI MW yes 45-64 someCollege white male 0.5481
