job	gender	phd	mentor	fellowship	articles	citations
1	1.89	male	4.29	89	yes	4	43
2	3.52	male	3.52	532	yes	1	1
3	4.6399999	male	4.6399999	146	yes	1	5
4	1.9400001	male	1.8099999	0	no	1	4
5	2.52	male	3.5899999	37	yes	4	57
6	NA	male	4.29	1	no	0	0
7	1.29	male	1.8	4	yes	6	60
8	3.8399999	male	4.29	0	no	1	1
9	2.1099999	male	2.1099999	11	yes	7	22
10	1.83	male	4.3400002	52	no	2	37
11	3.8399999	male	4.29	74	no	2	6
12	1.9400001	male	2.1099999	10	yes	1	15
13	3.04	male	4.29	89	no	4	107
14	3.2	male	4.29	92	no	4	4
15	3.2	male	4.29	39	yes	4	140
16	NA	male	3.5899999	2	no	7	21
17	1.95	male	3.4200001	10	no	2	12
18	2.5599999	male	4.29	48	no	0	0
19	1.53	male	4.29	11	yes	5	82
20	2.0999999	male	3.6199999	30	yes	7	42
21	2.72	male	4.29	0	no	1	7
22	4.6399999	male	4.3400002	150	no	7	154
23	NA	male	1.67	18	yes	0	0
24	NA	male	1.8	2	no	1	5
25	3.52	male	4.6399999	52	yes	2	33
26	1.98	male	1.75	12	yes	3	45
27	2.5599999	male	3.8399999	14	yes	7	78
28	2.5599999	male	3.04	83	yes	1	4
29	2.1600001	male	2.0999999	0	no	0	0
30	3.3599999	male	3.3599999	64	yes	3	33
31	1.58	male	4.29	0	no	1	6
32	3.04	male	3.1900001	59	yes	2	3
33	1.72	male	1.74	9	no	1	0
34	NA	male	2.76	19	yes	1	0
35	NA	male	3.2	25	yes	1	2
36	1.53	male	1.25	1	no	5	14
37	3.52	male	3.3599999	124	yes	4	27
38	2.5599999	male	2.0999999	0	no	0	0
39	NA	male	3.5899999	105	yes	2	17
40	2.02	male	3.5899999	49	no	0	0
41	NA	male	3.04	1	yes	2	12
42	2.49	male	1.75	6	yes	2	19
43	3.2	male	4.29	11	no	1	0
44	3.04	male	3.47	0	yes	4	203
45	2.1099999	male	2.26	11	no	3	3
46	3.04	male	4.29	46	yes	4	25
47	2.1600001	male	1.8	17	yes	5	12
48	1.53	male	2.0999999	0	no	1	1
49	2.72	male	4.29	0	no	0	0
50	1.9400001	male	1.9400001	14	yes	2	21
51	NA	male	2.05	31	yes	3	48
52	3.2	male	4.1599998	56	yes	2	22
53	3.3599999	male	4.6399999	14	yes	2	17
54	1.84	male	3.8399999	1	yes	1	0
55	2.1199999	male	4.3400002	116	no	6	26
56	2.72	male	2.76	11	no	2	2
57	1.9400001	male	4.29	5	no	0	0
58	NA	male	4	30	yes	5	32
59	2.5599999	male	4.1599998	203	yes	0	0
60	2.52	male	4	50	yes	4	32
61	NA	male	3.1500001	17	no	0	0
62	1.3200001	male	2.55	113	no	4	4
63	3.04	male	3.52	3	yes	1	4
64	3.04	male	4.48	8	yes	1	1
65	1.88	male	3.52	33	yes	5	54
66	2.5599999	male	3.8399999	39	yes	3	43
67	3.3599999	male	3.3599999	9	yes	2	10
68	2.0999999	male	2.51	13	no	0	0
69	3.52	male	3.52	0	yes	0	0
70	NA	male	4.1399999	8	no	0	0
71	3.52	male	4.6399999	233	yes	3	49
72	2.5599999	male	3.3599999	46	yes	3	21
73	3.2	male	3.52	0	yes	5	71
74	4.6399999	male	4.6399999	86	yes	3	23
75	3.6800001	male	3.52	17	yes	4	48
76	1.9400001	male	3.3599999	31	yes	1	4
