age	region	kids04	kids59	hoursWorked	education	familyIncome
1	34	BC	Yes	Yes	2086	13	24646
2	28	Atlantic	No	Yes	1312	9	29762
3	37	Atlantic	No	No	1955	12.5	38541
4	48	Quebec	No	No	0	9	29290
5	38	Prairies	No	No	2346	16	63659
7	42	Ontario	No	Yes	0	14.5	31044
8	56	Ontario	No	No	0	10	49393
9	48	Atlantic	No	No	1352	6	51309
11	36	Ontario	No	No	0	11	29977
12	54	Ontario	No	No	1251	11	32037
13	34	BC	Yes	Yes	1655	16	33511
14	61	Quebec	No	No	0	15	23425
15	62	Ontario	No	No	0	10	37604
16	27	Quebec	Yes	No	1838	18.5	21438
17	44	BC	No	Yes	750	17	36829
18	39	Prairies	Yes	No	0	9.5	40936
19	47	Prairies	No	No	1564	13	51283
20	49	Ontario	No	No	0	8	14210
21	38	Atlantic	No	Yes	1825	12	29789
22	46	Prairies	No	No	1558	12	10865
23	39	BC	No	Yes	1564	17	21928
24	29	Prairies	No	No	1479	16	17183
25	38	BC	No	Yes	0	12	66760
26	53	BC	No	No	0	11	46122
27	64	Atlantic	No	No	0	9	35958
28	26	BC	No	No	1608	15.5	14882
29	35	Quebec	No	No	1173	15.5	1704
30	44	BC	No	No	3128	14	36371
31	38	Atlantic	Yes	No	1825	14	35298
32	58	Ontario	No	No	1043	6	34495
33	32	Atlantic	No	Yes	1648	13.1	14182
34	53	Ontario	No	No	0	10	77535
35	38	Ontario	Yes	No	0	19	46002
36	30	Ontario	No	No	2499	19	28434
37	52	Ontario	No	No	0	12	42209
38	39	Ontario	No	No	0	13	34879
39	39	Ontario	Yes	Yes	1783	19	43218
40	47	BC	No	No	1251	13	14408
41	59	Ontario	No	No	0	18.8	72953
42	37	Ontario	Yes	Yes	782	19	75856
43	35	BC	No	Yes	331	17	33546
44	46	Ontario	No	No	92	14	97468
45	35	BC	Yes	Yes	1131	14	44562
46	49	Quebec	No	No	1929	15	41878
47	31	Ontario	No	No	136	15.6	29014
48	41	Prairies	No	Yes	2346	17	4268
49	44	Quebec	No	No	0	9	12032
50	52	Ontario	No	No	0	16	60404
51	62	BC	No	No	0	15	22494
52	41	Quebec	No	No	2086	11	26809
53	36	Atlantic	No	No	1423	15.6	0
55	41	Quebec	Yes	Yes	1304	11	11054
58	45	BC	No	No	1147	12.5	24321
59	38	Atlantic	No	Yes	968	12	3455
60	49	Ontario	No	No	0	12	56646
61	52	Atlantic	No	No	0	13	55975
62	52	Ontario	No	No	1903	12	41678
63	37	Prairies	No	Yes	0	14	66631
64	39	BC	No	No	0	12	53553
65	46	Prairies	No	No	1825	12.1	31237
66	61	Atlantic	No	No	0	12.5	20835
67	50	Atlantic	No	No	1251	18	52386
68	43	Atlantic	No	Yes	0	11.5	39053
69	35	Ontario	No	No	0	12	31962
70	54	Quebec	Yes	Yes	2086	7	47730
71	30	Atlantic	Yes	Yes	1434	12	21642
72	36	Quebec	No	Yes	1173	12	32762
73	32	Atlantic	Yes	Yes	0	10	45572
74	33	Ontario	No	Yes	1095	14	28157
75	62	Ontario	No	No	860	13	14242
76	43	Prairies	No	No	1955	14	33265
77	28	Ontario	No	No	1460	15	55724
78	35	Atlantic	Yes	No	1827	18	43984
79	46	Atlantic	No	No	2086	16	114890
80	47	Ontario	No	No	2086	20	29012
81	47	Quebec	No	No	2055	12	61923
82	23	Prairies	No	No	2086	14	16361
83	43	Atlantic	Yes	No	2607	11	44454
84	29	Quebec	Yes	No	0	13.5	28619
86	56	Quebec	No	No	0	10	20384
87	37	Atlantic	No	No	215	11.5	44786
88	43	Quebec	No	No	0	13	36329
89	31	Ontario	Yes	Yes	1043	15.5	16830
90	46	Ontario	No	No	0	9.3	31302
91	33	Prairies	Yes	Yes	802	14	36545
92	53	Ontario	No	No	2086	13.5	42722
93	29	Prairies	Yes	No	586	14	25633
94	48	Ontario	No	No	1304	12	18397
95	40	Atlantic	No	Yes	0	12	27078
96	30	Prairies	Yes	Yes	1304	12	27239
97	39	Prairies	No	No	645	10	39460
98	30	Quebec	No	Yes	1251	12	18403
99	51	Ontario	No	No	0	12.5	28392
100	30	Atlantic	No	No	1893	16.5	24347
101	31	BC	No	No	2086	15.1	10708
102	38	Prairies	Yes	Yes	991	13	10623
103	60	BC	No	No	0	10	17088
104	47	Atlantic	No	No	2086	11	27651
106	45	Ontario	No	Yes	1825	13	36683
107	31	Prairies	Yes	No	1981	13	33167
108	60	Quebec	No	No	0	15	30176
110	51	Ontario	No	No	1955	11	60650
111	60	Ontario	No	No	0	13	9204
112	37	Ontario	Yes	Yes	0	14	34506
113	38	Atlantic	No	No	0	12	88684
115	43	BC	No	No	2086	9	6246
116	38	Quebec	No	No	1521	8	11124
117	44	Ontario	Yes	No	1043	18	33580
118	40	Prairies	No	Yes	2086	12.5	46990
119	34	Quebec	Yes	No	1060	15.8	33365
120	36	Quebec	Yes	No	0	15	15324
121	52	Prairies	No	No	4954	20	18379
122	41	Quebec	No	No	1825	9	64473
123	22	Atlantic	Yes	No	1251	12	15252
124	42	Prairies	No	No	1487	14.7	43702
125	35	Atlantic	No	No	75	12	21887
126	43	Quebec	No	No	782	15	14864
127	43	Quebec	No	No	2346	14	68895
128	46	Atlantic	No	No	1669	16	6361
129	41	Atlantic	No	Yes	1955	12.5	21989
130	48	Atlantic	No	No	1495	14	55183
131	54	Atlantic	No	No	0	9	41945
132	26	Prairies	No	No	1338	16	28690
133	54	Quebec	No	No	1460	13	18249
134	46	BC	No	No	2607	16	44936
135	49	Quebec	No	No	2023	11	28043
136	26	Ontario	No	No	652	12	25024
137	61	Prairies	No	No	0	11.5	32970
138	35	Quebec	No	No	2086	11	53906
139	64	Prairies	No	No	0	8	12527
140	62	Ontario	No	No	0	13	71873
141	44	Atlantic	No	No	199	11	29895
142	35	Ontario	Yes	No	816	14	16500
144	56	Atlantic	No	No	0	6	7880
146	56	Prairies	No	No	2763	14	32928
147	59	Ontario	No	No	0	9	21615
148	27	Prairies	Yes	Yes	301	11	18799
149	52	Atlantic	No	No	521	15	10132
150	49	Ontario	No	No	1721	12	34594
151	49	Quebec	No	No	1027	4	55111
153	56	Atlantic	No	No	0	14	49993
154	35	Quebec	No	Yes	834	13	37509
155	27	Ontario	Yes	Yes	2086	13	13231
156	34	Prairies	No	Yes	1043	13	30623
157	52	Prairies	No	No	1955	15	24061
158	58	Prairies	No	No	2503	12	32461
159	41	Prairies	No	Yes	2086	18	36429
160	37	Atlantic	No	Yes	626	16	18676
161	52	Ontario	No	No	0	10	41365
162	51	Ontario	No	No	1340	12	16783
163	56	Quebec	No	No	0	12	42115
164	29	Quebec	Yes	Yes	0	12	27360
165	65	Prairies	No	No	0	17	3224
166	52	Quebec	No	No	0	20	13691
167	31	Ontario	Yes	Yes	473	13	20535
168	44	BC	No	No	280	13.4	46847
169	47	BC	No	No	1608	17	24017
170	35	Atlantic	Yes	Yes	379	14	46782
171	62	Atlantic	No	No	0	12	20801
172	47	Atlantic	No	No	2007	13	14605
173	60	Ontario	No	No	0	12	49628
174	53	Ontario	No	No	2086	11	39190
175	55	Ontario	No	No	0	8	18545
176	38	BC	Yes	Yes	0	17	38692
177	60	Ontario	No	No	0	13	24754
178	27	Atlantic	No	Yes	790	10.5	16737
179	42	Quebec	No	No	0	16.9	9891
180	42	Atlantic	No	No	1669	18	27271
181	34	Ontario	Yes	Yes	620	12.1	17782
182	36	BC	No	No	50	12	39039
183	65	Atlantic	No	No	0	14.3	9208
184	32	Quebec	No	Yes	2034	11	33514
185	27	Quebec	Yes	Yes	2346	11	32052
186	57	Quebec	No	No	3129	2.3	31728
187	54	Prairies	No	No	2086	11	10476
188	48	Prairies	No	No	795	9	24446
189	49	Quebec	No	No	0	7	32405
190	33	Ontario	Yes	Yes	0	14	29578
191	18	Ontario	No	No	90	12	18444
192	44	Quebec	No	No	1912	11	16509
194	32	Atlantic	No	Yes	2086	16	34526
195	45	Prairies	No	No	2086	14.7	11782
197	24	Atlantic	No	No	2086	15	26666
198	64	BC	No	No	0	11	21040
200	42	Prairies	No	Yes	0	12	55803
201	49	Quebec	No	No	0	6	15591
202	56	BC	No	No	1989	18	48797
203	45	Quebec	No	No	1825	11	25205
204	53	Ontario	No	No	0	12	38274
205	47	Quebec	No	No	1825	18.9	35823
207	64	Ontario	No	No	0	8	25036
208	30	Ontario	Yes	Yes	0	12.5	22258
209	47	BC	No	No	398	13.4	56530
210	23	Ontario	Yes	No	0	14.1	26738
211	62	Ontario	No	No	0	8	24650
212	27	BC	Yes	Yes	1564	9.1	39854
213	45	Prairies	No	No	0	12.5	36914
214	54	Prairies	No	No	1825	10	6262
215	26	Atlantic	No	No	568	13	31540
217	45	Ontario	No	Yes	521	12	79309
218	36	Quebec	No	No	1877	19	42373
219	24	Quebec	Yes	No	230	12.5	26039
220	36	Atlantic	No	Yes	536	12	22706
221	63	Prairies	No	No	0	8	15676
222	46	Quebec	No	No	437	12	13539
223	44	Atlantic	No	No	0	15	25164
224	30	Atlantic	No	Yes	0	7	27827
225	40	Ontario	Yes	No	815	10	24804
226	45	Atlantic	No	No	0	10	54321
227	32	Quebec	No	Yes	4197	8.2	24898
228	63	Prairies	No	No	0	8	33754
229	46	Atlantic	No	No	76	12	63742
230	41	Atlantic	Yes	No	0	10	31595
231	40	Atlantic	No	Yes	0	12.5	17736
232	34	BC	Yes	Yes	1180	14	25243
233	41	Ontario	No	Yes	1825	18	6432
234	40	Quebec	Yes	Yes	0	12	35136
235	33	Prairies	No	No	2857	14	11546
236	38	BC	Yes	No	1744	16	43362
238	38	BC	No	Yes	261	14	27859
239	53	Atlantic	No	No	1046	10.5	17259
240	28	Ontario	No	No	2086	16.1	45300
241	55	Ontario	No	No	0	11	29811
242	36	BC	No	No	428	16	43313
243	34	Atlantic	Yes	Yes	1313	15	27035
244	36	Prairies	Yes	No	1396	12	28604
245	37	Prairies	No	No	285	14	48877
246	40	BC	No	No	1955	11	24350
247	37	Prairies	No	No	1043	17	55098
248	34	Ontario	Yes	Yes	1475	17.3	33787
249	56	Prairies	No	No	1043	17	0
250	50	Prairies	No	No	1564	13	17408
251	32	Quebec	Yes	Yes	730	13.5	17156
252	32	Ontario	Yes	Yes	0	11	47677
254	34	Ontario	No	No	1669	12	11141
255	33	BC	No	No	859	19.1	9673
256	51	Prairies	No	No	2144	15.8	799
257	58	Ontario	No	No	130	17	23854
258	63	Ontario	No	No	2613	11	36620
259	40	Prairies	No	No	1877	15.2	36459
260	33	Ontario	No	No	1955	12	37023
261	36	Prairies	No	Yes	2078	13	11932
262	57	Ontario	No	No	1277	11	61423
