age	region	kids04	kids59	compositeHourlyWages	education	working	familyIncome
1	34	BC	Yes	Yes	8.5	13	TRUE	24646
2	28	Atlantic	No	Yes	6.67	9	TRUE	29762
3	37	Atlantic	No	No	13.31	12.5	TRUE	38541
4	48	Quebec	No	No	0	9	FALSE	29290
5	38	Prairies	No	No	18.77	16	TRUE	63659
7	42	Ontario	No	Yes	0	14.5	FALSE	31044
8	56	Ontario	No	No	0	10	FALSE	49393
9	48	Atlantic	No	No	9.48	6	TRUE	51309
11	36	Ontario	No	No	0	11	FALSE	29977
12	54	Ontario	No	No	0	11	FALSE	32037
13	34	BC	Yes	Yes	18.53	16	TRUE	33511
14	61	Quebec	No	No	0	15	FALSE	23425
15	62	Ontario	No	No	0	10	FALSE	37604
16	27	Quebec	Yes	No	11.27	18.5	TRUE	21438
17	44	BC	No	Yes	25.05	17	TRUE	36829
18	39	Prairies	Yes	No	0	9.5	FALSE	40936
19	47	Prairies	No	No	12.8	13	TRUE	51283
20	49	Ontario	No	No	0	8	FALSE	14210
21	38	Atlantic	No	Yes	6.12	12	TRUE	29789
22	46	Prairies	No	No	11.38	12	TRUE	10865
23	39	BC	No	Yes	37.76	17	TRUE	21928
24	29	Prairies	No	No	24.77	16	TRUE	17183
25	38	BC	No	Yes	0	12	FALSE	66760
26	53	BC	No	No	0	11	FALSE	46122
27	64	Atlantic	No	No	0	9	FALSE	35958
28	26	BC	No	No	8.03	15.5	TRUE	14882
29	35	Quebec	No	No	18.33	15.5	TRUE	1704
30	44	BC	No	No	25.35	14	TRUE	36371
31	38	Atlantic	Yes	No	18.82	14	TRUE	35298
32	58	Ontario	No	No	0	6	FALSE	34495
33	32	Atlantic	No	Yes	14.47	13.1	TRUE	14182
34	53	Ontario	No	No	0	10	FALSE	77535
35	38	Ontario	Yes	No	0	19	FALSE	46002
36	30	Ontario	No	No	13.65	19	TRUE	28434
37	52	Ontario	No	No	0	12	FALSE	42209
38	39	Ontario	No	No	0	13	FALSE	34879
39	39	Ontario	Yes	Yes	16.01	19	TRUE	43218
40	47	BC	No	No	16.5	13	TRUE	14408
41	59	Ontario	No	No	0	18.8	FALSE	72953
42	37	Ontario	Yes	Yes	23.04	19	TRUE	75856
43	35	BC	No	Yes	12	17	TRUE	33546
44	46	Ontario	No	No	12	14	TRUE	97468
45	35	BC	Yes	Yes	17.48	14	TRUE	44562
46	49	Quebec	No	No	16.61	15	TRUE	41878
47	31	Ontario	No	No	6.85	15.6	TRUE	29014
48	41	Prairies	No	Yes	40.53	17	TRUE	4268
49	44	Quebec	No	No	0	9	FALSE	12032
50	52	Ontario	No	No	0	16	FALSE	60404
51	62	BC	No	No	0	15	FALSE	22494
52	41	Quebec	No	No	7.65	11	TRUE	26809
53	36	Atlantic	No	No	16.45	15.6	TRUE	0
55	41	Quebec	Yes	Yes	0	11	FALSE	11054
58	45	BC	No	No	11.59	12.5	TRUE	24321
59	38	Atlantic	No	Yes	5.75	12	TRUE	3455
60	49	Ontario	No	No	0	12	FALSE	56646
61	52	Atlantic	No	No	0	13	FALSE	55975
62	52	Ontario	No	No	13.26	12	TRUE	41678
63	37	Prairies	No	Yes	0	14	FALSE	66631
64	39	BC	No	No	0	12	FALSE	53553
65	46	Prairies	No	No	14.5	12.1	TRUE	31237
66	61	Atlantic	No	No	0	12.5	FALSE	20835
67	50	Atlantic	No	No	9.59	18	TRUE	52386
68	43	Atlantic	No	Yes	0	11.5	FALSE	39053
69	35	Ontario	No	No	0	12	FALSE	31962
70	54	Quebec	Yes	Yes	0	7	FALSE	47730
71	30	Atlantic	Yes	Yes	7.4	12	TRUE	21642
72	36	Quebec	No	Yes	11.59	12	TRUE	32762
73	32	Atlantic	Yes	Yes	0	10	FALSE	45572
74	33	Ontario	No	Yes	15.49	14	TRUE	28157
