age	nonint	mwork	meduc	income	nsibs	fundprot	tradrole
1	20.333333333	no	no	8	13416	1	no	D
2	20	no	no	5	8944	8	no	SA
3	17.416666667	yes	yes	10	10013	3	no	D
4	16.416666667	yes	yes	11	10013	3	no	SD
8	20.5	no	yes	9	4173	7	yes	D
10	18.25	yes	no	12	2048	3	no	D
12	19.333333333	no	yes	15	14434	3	no	D
14	15.25	no	yes	12	6577	2	no	SD
16	20.25	no	no	12	24000	3	no	D
19	21.083333333	no	no	10	6364	3	no	D
20	19.166666667	no	no	12	22361	2	no	D
21	17.583333333	no	no	12	17889	2	no	D
22	16	no	no	12	9000	1	no	SD
25	19.166666667	no	no	14	8491	1	no	SD
27	18.666666667	no	no	14	10000	1	no	SD
28	15	no	no	14	10000	1	no	SD
29	18.25	no	yes	0	12100	1	no	A
30	20.166666667	no	yes	12	12100	1	no	SD
35	15.416666667	yes	yes	12	9000	5	no	D
37	20.25	no	yes	12	18500	4	no	SD
38	16.416666667	no	yes	12	18500	4	no	D
43	17.583333333	yes	yes	10	6577	2	no	SD
44	17.75	no	yes	12	15000	4	no	D
46	16.166666667	yes	yes	12	16166	0	no	D
49	20.666666667	no	no	12	16900	6	no	SD
50	20.333333333	yes	yes	9	14000	4	no	D
56	14.666666667	no	no	12	6000	2	no	SD
57	20.666666667	no	yes	12	16468	1	no	SD
58	22	no	no	12	22361	2	no	SD
61	16.333333333	no	yes	12	16000	3	no	D
62	14.5	no	yes	12	16000	3	no	SD
65	15.25	no	yes	16	15105	3	no	SD
68	16.833333333	no	no	16	20000	1	no	SD
72	19.083333333	no	no	14	8491	2	no	A
74	19.166666667	no	yes	15	14707	3	no	SD
75	16.833333333	no	yes	14	6577	3	no	D
77	14.666666667	no	yes	16	7354	1	no	D
78	21.75	no	no	16	14311	2	no	D
91	15.5	no	yes	5	6577	2	no	D
92	16.416666667	yes	no	12	7354	1	no	SD
95	18.5	no	yes	10	12000	2	no	D
96	17.583333333	no	yes	6	3000	2	no	SD
97	20.916666667	no	yes	12	8000	7	no	SD
98	21.333333333	no	yes	17	6618	2	no	SD
99	21.333333333	no	yes	12	11250	1	no	SD
100	15.25	yes	no	12	4175	2	yes	D
102	14.416666667	no	no	10	6708	1	no	A
104	20.583333333	no	yes	12	8491	0	no	SD
105	20.333333333	yes	yes	12	16166	0	no	SD
109	16.75	no	yes	12	9000	2	no	D
111	19.583333333	no	yes	11	6004	3	no	SD
112	15.333333333	no	no	12	6004	3	no	SD
115	18.416666667	no	no	10	23389	2	no	SD
116	15.083333333	no	no	10	23389	2	no	D
118	17.25	yes	no	12	8083	2	no	SD
121	14.333333333	no	yes	17	26833	2	no	D
124	17.833333333	no	no	14	7354	7	no	D
128	20.5	no	no	10	8491	4	no	D
130	19.25	no	no	0	0	7	no	A
131	18.75	no	no	13	0	10	no	A
132	19.333333333	no	no	12	14707	5	no	A
133	16.083333333	no	yes	10	12500	4	no	SD
136	21.25	no	no	12	8491	1	no	D
137	17.5	no	no	13	15119	4	no	D
138	16.166666667	no	no	14	15119	4	no	A
140	20.333333333	no	yes	15	18000	1	no	D
141	16.5	no	yes	12	16743	2	no	D
143	17.583333333	no	yes	10	7603	3	no	SD
